Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (GM),Flow-rate Problem (d=10),0,5000,0.000388,0.0002940249382090281,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),1,5000,0.000388,0.00030491615021672227,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),2,5000,0.000388,0.00032562416971734326,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),3,5000,0.000388,0.0003130052869979643,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),4,5000,0.000388,0.00030748774536992177,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),5,5000,0.000388,0.00028883823916516725,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),6,5000,0.000388,0.00028019762366153804,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),7,5000,0.000388,0.0002744777780617609,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),8,5000,0.000388,0.00028668830224396033,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),9,5000,0.000388,0.00028217375936740374,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),10,5000,0.000388,0.00030588280900500095,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),11,5000,0.000388,0.00030714310020916563,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),12,5000,0.000388,0.0002756405707866919,45000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),13,5000,0.000388,0.00028118343831781673,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),14,5000,0.000388,0.00032787042080081766,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),15,5000,0.000388,0.00028211023437906923,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),16,5000,0.000388,0.0003020577871156249,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),17,5000,0.000388,0.00027093592474803496,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),18,5000,0.000388,0.00028047808212491095,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),19,5000,0.000388,0.0002907204084799068,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),20,5000,0.000388,0.0002918632386961327,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),21,5000,0.000388,0.00028869389598030543,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),22,5000,0.000388,0.00027562609517395726,45000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),23,5000,0.000388,0.0002907106180101313,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),24,5000,0.000388,0.0002868720425851818,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),25,5000,0.000388,0.0002784612819081516,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),26,5000,0.000388,0.00029342812328874633,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),27,5000,0.000388,0.00027973387763157847,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),28,5000,0.000388,0.00028985032875465704,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),29,5000,0.000388,0.0002932331755203409,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),30,5000,0.000388,0.00027725102520719924,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),31,5000,0.000388,0.0002930838455666622,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),32,5000,0.000388,0.0003447793640285816,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),33,5000,0.000388,0.00030233390867427055,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),34,5000,0.000388,0.00027867503124743637,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),35,5000,0.000388,0.0002825779058805444,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),36,5000,0.000388,0.00029446201185917814,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),37,5000,0.000388,0.00027940398199464837,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),38,5000,0.000388,0.0002871582636588381,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),39,5000,0.000388,0.00028085672721818515,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),40,5000,0.000388,0.00028287851202542604,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),41,5000,0.000388,0.0003188993565921961,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),42,5000,0.000388,0.00029029375882219427,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),43,5000,0.000388,0.0002980715613138301,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),44,5000,0.000388,0.00029901503615657054,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),45,5000,0.000388,0.0002739835957960018,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),46,5000,0.000388,0.0003399466431600093,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),47,5000,0.000388,0.0002811573595047942,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),48,5000,0.000388,0.0002940470548902315,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),49,5000,0.000388,0.0002819743940286091,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),50,5000,0.000388,0.00028089625630022805,45000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),51,5000,0.000388,0.00030551711121411815,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),52,5000,0.000388,0.00027945877754786654,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),53,5000,0.000388,0.00028068902104746567,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),54,5000,0.000388,0.001790855996176646,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),55,5000,0.000388,0.0002925162976801619,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),56,5000,0.000388,0.00028731162901198866,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),57,5000,0.000388,0.00026937090854990887,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),58,5000,0.000388,0.000294259201381869,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),59,5000,0.000388,0.00028561314985823893,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),60,5000,0.000388,0.0002821116666167238,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),61,5000,0.000388,0.00027713592561181,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),62,5000,0.000388,0.0002945065647449306,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),63,5000,0.000388,0.000399996649719507,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),64,5000,0.000388,0.00028460140948269883,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),65,5000,0.000388,0.0002921764119233781,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),66,5000,0.000388,0.00027761160937491656,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),67,5000,0.000388,0.00029139613243047986,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),68,5000,0.000388,0.0002932558783398038,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),69,5000,0.000388,0.0002932634114280647,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),70,5000,0.000388,0.0003040793754025048,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),71,5000,0.000388,0.00027775726324954093,45000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),72,5000,0.000388,0.0002823040449326179,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),73,5000,0.000388,0.00028727546538315815,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),74,5000,0.000388,0.00028250178169106956,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),75,5000,0.000388,0.00029797476931650514,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),76,5000,0.000388,0.0002968927897790621,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),77,5000,0.000388,0.0002956059148526236,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),78,5000,0.000388,0.00028648286830444507,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),79,5000,0.000388,0.00028223640105990274,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),80,5000,0.000388,0.0002765634201594853,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),81,5000,0.000388,0.0002915299766463593,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),82,5000,0.000388,0.0002865476628815492,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),83,5000,0.000388,0.0002877433143351608,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),84,5000,0.000388,0.0003757254491639889,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),85,5000,0.000388,0.00027232230482546085,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),86,5000,0.000388,0.00027779613228832924,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),87,5000,0.000388,0.0003014576165196449,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),88,5000,0.000388,0.00031272144906071685,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),89,5000,0.000388,0.0002842349726884136,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),90,5000,0.000388,0.00033100411517383605,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),91,5000,0.000388,0.0002857355845365817,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),92,5000,0.000388,0.0002867437471967582,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),93,5000,0.000388,0.0003158557283317851,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),94,5000,0.000388,0.0002842102510145616,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),95,5000,0.000388,0.00031126555726638757,40000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),96,5000,0.000388,0.00030125327800259216,40000,6,Success,GM,1
