Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (vMFNM),Flow-rate Problem (d=10),0,5000,0.000388,0.000292130031912514,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),1,5000,0.000388,0.00030476247800663377,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),2,5000,0.000388,0.00030255917325449055,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),3,5000,0.000388,0.0002897225732284482,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),4,5000,0.000388,0.00030835860646855924,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),5,5000,0.000388,0.0002978703593333002,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),6,5000,0.000388,0.0003063742575689976,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),7,5000,0.000388,0.0002960995219397313,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),8,5000,0.000388,0.00030399599116157506,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),9,5000,0.000388,0.0002851824543098346,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),10,5000,0.000388,0.00029788521597035126,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),11,5000,0.000388,0.0002957481625125974,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),12,5000,0.000388,0.0002985637645494827,45000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),13,5000,0.000388,0.0003018102830322613,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),14,5000,0.000388,0.0002918729608154217,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),15,5000,0.000388,0.00029501313726886045,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),16,5000,0.000388,0.0002999123097613203,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),17,5000,0.000388,0.0002949442575876863,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),18,5000,0.000388,0.00029718877927392223,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),19,5000,0.000388,0.0002952112543172426,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),20,5000,0.000388,0.00028386014772054774,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),21,5000,0.000388,0.0002986757311130569,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),22,5000,0.000388,0.0002989294350116003,45000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),23,5000,0.000388,0.00030096514402778296,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),24,5000,0.000388,0.00030313545077364167,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),25,5000,0.000388,0.0003022051709199451,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),26,5000,0.000388,0.0002954125042569099,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),27,5000,0.000388,0.00028989229360229,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),28,5000,0.000388,0.0002930665711910517,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),29,5000,0.000388,0.0003022621627995308,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),30,5000,0.000388,0.00029343017201151697,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),31,5000,0.000388,0.0003014440820195735,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),32,5000,0.000388,0.0002945248822997948,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),33,5000,0.000388,0.0003026811224577151,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),34,5000,0.000388,0.0003037909365748001,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),35,5000,0.000388,0.0002960989071507771,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),36,5000,0.000388,0.0002921188407163177,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),37,5000,0.000388,0.00029778153977910954,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),38,5000,0.000388,0.0003023512277938521,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),39,5000,0.000388,0.0002954699728168132,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),40,5000,0.000388,0.00029671967786017704,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),41,5000,0.000388,0.0002956718353022177,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),42,5000,0.000388,0.00030663512362410524,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),43,5000,0.000388,0.0002967687770027963,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),44,5000,0.000388,0.00030216943874827656,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),45,5000,0.000388,0.0003035833271052001,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),46,5000,0.000388,0.0003040918068859544,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),47,5000,0.000388,0.00029688852220509176,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),48,5000,0.000388,0.0003032830770164252,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),49,5000,0.000388,0.0002894089403348839,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),50,5000,0.000388,0.00029802279534085513,45000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),51,5000,0.000388,0.00029513803998577605,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),52,5000,0.000388,0.00030862194496972256,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),53,5000,0.000388,0.00029870593851937937,40000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),54,5000,0.000388,0.0003028717091130293,40000,6,Success,vMFNM,1
