Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (GM),Flow-rate Problem (d=10),0,6000,0.000388,0.0002913002241104419,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),1,6000,0.000388,0.0002932072460096242,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),2,6000,0.000388,0.0002752718940375116,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),3,6000,0.000388,0.0002781978572263574,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),4,6000,0.000388,0.00029792372357162743,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),5,6000,0.000388,0.0002785879786768097,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),6,6000,0.000388,0.0003091904180138918,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),7,6000,0.000388,0.0002928218390585231,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),8,6000,0.000388,0.0003036856661104205,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),9,6000,0.000388,0.00028215314196263516,54000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),10,6000,0.000388,0.00028616854328324825,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),11,6000,0.000388,0.0002753647099360472,54000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),12,6000,0.000388,0.0003049685706013058,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),13,6000,0.000388,0.0002990283690959417,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),14,6000,0.000388,0.00028834126220131574,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),15,6000,0.000388,0.00028061981453470755,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),16,6000,0.000388,0.00028057513117960844,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),17,6000,0.000388,0.00027815186743901805,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),18,6000,0.000388,0.00028567375035480435,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),19,6000,0.000388,0.00027585889578495216,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),20,6000,0.000388,0.0003840910047156439,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),21,6000,0.000388,0.00031388643973850026,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),22,6000,0.000388,0.00028315847931011535,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),23,6000,0.000388,0.0002947662339017724,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),24,6000,0.000388,0.0002885927702093935,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),25,6000,0.000388,0.00028808932027499766,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),26,6000,0.000388,0.00031447083462772746,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),27,6000,0.000388,0.0002752913231565392,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),28,6000,0.000388,0.0002882685764473759,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),29,6000,0.000388,0.00028940274260993103,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),30,6000,0.000388,0.00027813075515200486,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),31,6000,0.000388,0.0002857246346396535,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),32,6000,0.000388,0.0002888910890285278,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),33,6000,0.000388,0.00027794385137083397,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),34,6000,0.000388,0.000294645658556373,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),35,6000,0.000388,0.00028310236395509916,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),36,6000,0.000388,0.0002908746207245568,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),37,6000,0.000388,0.0002839993011221466,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),38,6000,0.000388,0.00028603701701139945,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),39,6000,0.000388,0.00028803070084734266,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),40,6000,0.000388,0.0002946370229713815,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),41,6000,0.000388,0.00028416586987604567,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),42,6000,0.000388,0.00029498423498574037,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),43,6000,0.000388,0.00028540961694746743,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),44,6000,0.000388,0.00029107115578833867,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),45,6000,0.000388,0.000295763278166883,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),46,6000,0.000388,0.00028336954779061295,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),47,6000,0.000388,0.0002813730082555401,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),48,6000,0.000388,0.00027712636739848467,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),49,6000,0.000388,0.0002939712655160553,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),50,6000,0.000388,0.0002864645427325615,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),51,6000,0.000388,0.0002812614716549294,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),52,6000,0.000388,0.00028751400352142854,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),53,6000,0.000388,0.000303949538087642,54000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),54,6000,0.000388,0.000290811751043196,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),55,6000,0.000388,0.0002735725275863694,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),56,6000,0.000388,0.0002800964100467795,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),57,6000,0.000388,0.0002801641844372566,54000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),58,6000,0.000388,0.00028398951401688326,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),59,6000,0.000388,0.00027996260489404336,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),60,6000,0.000388,0.0002985257836882453,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),61,6000,0.000388,0.0002946884677078119,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),62,6000,0.000388,0.00027490945438176403,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),63,6000,0.000388,0.0002936179892298248,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),64,6000,0.000388,0.0002891482740478197,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),65,6000,0.000388,0.0002875643794027641,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),66,6000,0.000388,0.00029306259048181196,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),67,6000,0.000388,0.00028735090166877905,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),68,6000,0.000388,0.00027716100195952987,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),69,6000,0.000388,0.00028141565276364205,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),70,6000,0.000388,0.000280243581326771,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),71,6000,0.000388,0.000292056193752758,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),72,6000,0.000388,0.00029336119276435007,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),73,6000,0.000388,0.0002917847976335137,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),74,6000,0.000388,0.0003061305269393972,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),75,6000,0.000388,0.0003013732022221035,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),76,6000,0.000388,0.0002839087864282427,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),77,6000,0.000388,0.0003559814029650054,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),78,6000,0.000388,0.00031141574654973647,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),79,6000,0.000388,0.0002914930905490257,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),80,6000,0.000388,0.0002856967625767028,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),81,6000,0.000388,0.0002813401883607284,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),82,6000,0.000388,0.00028578197130479813,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),83,6000,0.000388,0.0003074630934733395,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),84,6000,0.000388,0.00028796416967041783,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),85,6000,0.000388,0.0002746397526600906,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),86,6000,0.000388,0.0002865954731348768,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),87,6000,0.000388,0.0002890120983775616,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),88,6000,0.000388,0.0002854019323880033,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),89,6000,0.000388,0.0002762239081849393,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),90,6000,0.000388,0.0002769842478657857,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),91,6000,0.000388,0.00029468329184064877,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),92,6000,0.000388,0.00030368800848646173,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),93,6000,0.000388,0.0002964942483288812,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),94,6000,0.000388,0.00027703195240836437,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),95,6000,0.000388,0.00027681536662875933,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),96,6000,0.000388,0.0002751752241999673,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),97,6000,0.000388,0.0003182880807206908,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),98,6000,0.000388,0.00028800752971849683,48000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),99,6000,0.000388,0.00029320907612147024,48000,6,Success,GM,1
