Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (vMFNM),Flow-rate Problem (d=10),0,6000,0.000388,0.0002968646302419289,48000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),1,6000,0.000388,0.0002989521666153047,48000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),2,6000,0.000388,0.00028749109752753435,48000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),3,6000,0.000388,0.00029284203808618945,48000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),4,6000,0.000388,0.0002851219183320443,48000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),5,6000,0.000388,0.0002905400424940589,48000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),6,6000,0.000388,0.00029484110143482463,48000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),7,6000,0.000388,0.000288363725417572,48000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),8,6000,0.000388,0.0002929934975779253,48000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),9,6000,0.000388,0.0002960804017068827,54000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),10,6000,0.000388,0.00030394617553102356,48000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),11,6000,0.000388,0.0003057430100882043,54000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),12,6000,0.000388,0.00029996383803931247,48000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),13,6000,0.000388,0.000288827057768707,48000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),14,6000,0.000388,0.00030535676241781156,48000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),15,6000,0.000388,0.0002950122461369353,48000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),16,6000,0.000388,0.00028057600656095647,48000,6,Success,vMFNM,1
