Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (GM),Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.183404363234346e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,5.402370503859027e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,2,1000,6.429999999999999e-06,6.033157728947544e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,3,1000,6.429999999999999e-06,5.382574308304213e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,4,1000,6.429999999999999e-06,6.009377546814243e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,5,1000,6.429999999999999e-06,5.583057428013488e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,6,1000,6.429999999999999e-06,7.587382887669324e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,7,1000,6.429999999999999e-06,6.019509331013299e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,8,1000,6.429999999999999e-06,5.852389838890144e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,9,1000,6.429999999999999e-06,6.0070291651338355e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,10,1000,6.429999999999999e-06,5.560625757826539e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,11,1000,6.429999999999999e-06,5.592135093373604e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,12,1000,6.429999999999999e-06,6.464690885651406e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,13,1000,6.429999999999999e-06,5.725422232363369e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,14,1000,6.429999999999999e-06,6.910842802363638e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,15,1000,6.429999999999999e-06,6.7976305759330724e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,16,1000,6.429999999999999e-06,5.9338443177025134e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,17,1000,6.429999999999999e-06,5.495633992813068e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,18,1000,6.429999999999999e-06,6.172859471012066e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,19,1000,6.429999999999999e-06,6.066201732275925e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,20,1000,6.429999999999999e-06,5.546889373730458e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,21,1000,6.429999999999999e-06,8.541528907491646e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,22,1000,6.429999999999999e-06,5.8064759948039064e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,23,1000,6.429999999999999e-06,5.504479083024233e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,24,1000,6.429999999999999e-06,5.760370738666541e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,25,1000,6.429999999999999e-06,5.371198855877717e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,26,1000,6.429999999999999e-06,6.454795355689283e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,27,1000,6.429999999999999e-06,6.260106397960363e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,28,1000,6.429999999999999e-06,6.454439886892329e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,29,1000,6.429999999999999e-06,6.026999355467693e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,30,1000,6.429999999999999e-06,6.5953203639935625e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,31,1000,6.429999999999999e-06,6.085149587076701e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,32,1000,6.429999999999999e-06,6.465115902416295e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,33,1000,6.429999999999999e-06,5.5881058688502165e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,34,1000,6.429999999999999e-06,5.343019157998821e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,35,1000,6.429999999999999e-06,6.374260340556039e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,36,1000,6.429999999999999e-06,6.459963267293651e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,37,1000,6.429999999999999e-06,5.864232541680024e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,38,1000,6.429999999999999e-06,5.798254255515033e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,39,1000,6.429999999999999e-06,5.486993722676674e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,40,1000,6.429999999999999e-06,6.095343201914156e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,41,1000,6.429999999999999e-06,5.940842859845487e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,42,1000,6.429999999999999e-06,5.829577821928554e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,43,1000,6.429999999999999e-06,5.886649535979272e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,44,1000,6.429999999999999e-06,6.292458110885099e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,45,1000,6.429999999999999e-06,5.135184716378071e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,46,1000,6.429999999999999e-06,6.607044275811069e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,47,1000,6.429999999999999e-06,6.457635904329305e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,48,1000,6.429999999999999e-06,5.489806871779293e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,49,1000,6.429999999999999e-06,5.905628316439967e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,50,1000,6.429999999999999e-06,6.672839918406031e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,51,1000,6.429999999999999e-06,9.805328121471395e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,52,1000,6.429999999999999e-06,5.606069380237423e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,53,1000,6.429999999999999e-06,6.738508297532531e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,54,1000,6.429999999999999e-06,5.738914622884647e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,55,1000,6.429999999999999e-06,6.253146603644243e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,56,1000,6.429999999999999e-06,6.273074200615639e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,57,1000,6.429999999999999e-06,5.790512408147581e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,58,1000,6.429999999999999e-06,5.227152933123357e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,59,1000,6.429999999999999e-06,6.913462534187802e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,60,1000,6.429999999999999e-06,6.742908974858427e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,61,1000,6.429999999999999e-06,5.166827015807429e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,62,1000,6.429999999999999e-06,6.915173908937125e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,63,1000,6.429999999999999e-06,5.9836464418072e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,64,1000,6.429999999999999e-06,5.6648397660026216e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,65,1000,6.429999999999999e-06,5.413983571162009e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,66,1000,6.429999999999999e-06,5.500395247752041e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,67,1000,6.429999999999999e-06,5.311352935951638e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,68,1000,6.429999999999999e-06,6.449605708505542e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,69,1000,6.429999999999999e-06,5.3737881393068e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,70,1000,6.429999999999999e-06,6.424867431396884e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,71,1000,6.429999999999999e-06,5.803524758114393e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,72,1000,6.429999999999999e-06,5.920572219869191e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,73,1000,6.429999999999999e-06,5.857202032200649e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,74,1000,6.429999999999999e-06,6.398423762056711e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,75,1000,6.429999999999999e-06,7.100535173676071e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,76,1000,6.429999999999999e-06,6.0698552156793085e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,77,1000,6.429999999999999e-06,5.588782252016732e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,78,1000,6.429999999999999e-06,6.03594736273454e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,79,1000,6.429999999999999e-06,5.923826347176588e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,80,1000,6.429999999999999e-06,5.917170430409575e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,81,1000,6.429999999999999e-06,5.9920167876144415e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,82,1000,6.429999999999999e-06,6.116487589328881e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,83,1000,6.429999999999999e-06,6.2270518269974105e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,84,1000,6.429999999999999e-06,6.011107776253117e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,85,1000,6.429999999999999e-06,6.587067426331239e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,86,1000,6.429999999999999e-06,5.341063493590169e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,87,1000,6.429999999999999e-06,6.731991343865698e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,88,1000,6.429999999999999e-06,5.0918844733438185e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,89,1000,6.429999999999999e-06,6.013723971527071e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,90,1000,6.429999999999999e-06,5.608726828317955e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,91,1000,6.429999999999999e-06,5.664457573374536e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,92,1000,6.429999999999999e-06,6.0241107990717805e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,93,1000,6.429999999999999e-06,6.044026709330911e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,94,1000,6.429999999999999e-06,5.816852754989056e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,95,1000,6.429999999999999e-06,5.673121212640034e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,96,1000,6.429999999999999e-06,6.265284662406809e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,97,1000,6.429999999999999e-06,6.022254207275156e-06,11000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,98,1000,6.429999999999999e-06,6.1039160247131965e-06,10000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,99,1000,6.429999999999999e-06,5.867194009507584e-06,10000,8,Success,GM,1
