Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (vMFNM),Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.972226674309175e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,5.913599113763522e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,2,1000,6.429999999999999e-06,8.173014721567652e-06,10000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,3,1000,6.429999999999999e-06,6.407618337724631e-06,10000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,4,1000,6.429999999999999e-06,6.6879152542178e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,5,1000,6.429999999999999e-06,6.369360482055362e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,6,1000,6.429999999999999e-06,6.066490074333919e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,7,1000,6.429999999999999e-06,6.563034612084494e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,8,1000,6.429999999999999e-06,5.419878542432471e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,9,1000,6.429999999999999e-06,6.600124490360845e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,10,1000,6.429999999999999e-06,6.415640934125386e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,11,1000,6.429999999999999e-06,6.9055371674422215e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,12,1000,6.429999999999999e-06,5.6656674493609095e-06,10000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,13,1000,6.429999999999999e-06,7.237976118747236e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,14,1000,6.429999999999999e-06,4.8431198069767996e-06,10000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,15,1000,6.429999999999999e-06,8.789997452574909e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,16,1000,6.429999999999999e-06,6.4488401582687375e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,17,1000,6.429999999999999e-06,6.60296438786654e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,18,1000,6.429999999999999e-06,7.394882114223622e-06,10000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,19,1000,6.429999999999999e-06,5.520372615866968e-06,10000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,20,1000,6.429999999999999e-06,6.33730959411989e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,21,1000,6.429999999999999e-06,6.056576648720354e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,22,1000,6.429999999999999e-06,6.594783568234524e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,23,1000,6.429999999999999e-06,6.626878829568708e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,24,1000,6.429999999999999e-06,5.623699875964697e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,25,1000,6.429999999999999e-06,6.675486821409362e-06,10000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,26,1000,6.429999999999999e-06,7.5072096115172975e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,27,1000,6.429999999999999e-06,6.509804613347118e-06,10000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,28,1000,6.429999999999999e-06,5.431472116562596e-06,10000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,29,1000,6.429999999999999e-06,6.588265265925536e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,30,1000,6.429999999999999e-06,6.4032557429181294e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,31,1000,6.429999999999999e-06,6.423447062045132e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,32,1000,6.429999999999999e-06,6.402788295079183e-06,10000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,33,1000,6.429999999999999e-06,6.1439868943371675e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,34,1000,6.429999999999999e-06,6.181710669556004e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,35,1000,6.429999999999999e-06,6.451956614652608e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,36,1000,6.429999999999999e-06,5.804557733138833e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,37,1000,6.429999999999999e-06,6.465040583465001e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,38,1000,6.429999999999999e-06,6.60830858202618e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,39,1000,6.429999999999999e-06,6.498862809176227e-06,11000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,40,1000,6.429999999999999e-06,6.081305353645199e-06,11000,9,Success,vMFNM,1
