Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (vMFNM),Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.897301756632353e-06,20000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,6.049850219898988e-06,20000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,6.138957448369e-06,20000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,3,2000,6.429999999999999e-06,6.596063639951364e-06,20000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,4,2000,6.429999999999999e-06,6.266206662440238e-06,20000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,5,2000,6.429999999999999e-06,6.171990399896948e-06,20000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,6,2000,6.429999999999999e-06,6.264604458506025e-06,20000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,7,2000,6.429999999999999e-06,6.566108983169433e-06,22000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,8,2000,6.429999999999999e-06,5.495215311873771e-06,20000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,9,2000,6.429999999999999e-06,6.053429683128758e-06,22000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,10,2000,6.429999999999999e-06,6.53425592544413e-06,20000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,11,2000,6.429999999999999e-06,6.454130651590164e-06,20000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,12,2000,6.429999999999999e-06,6.152067941494412e-06,20000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,13,2000,6.429999999999999e-06,6.568019934926337e-06,22000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,14,2000,6.429999999999999e-06,6.101166319291109e-06,20000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,15,2000,6.429999999999999e-06,6.512968262049229e-06,20000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,16,2000,6.429999999999999e-06,6.794483219981482e-06,22000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,17,2000,6.429999999999999e-06,5.923904359462011e-06,20000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,18,2000,6.429999999999999e-06,6.313810674066356e-06,20000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,19,2000,6.429999999999999e-06,6.39605543631533e-06,20000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,20,2000,6.429999999999999e-06,6.54181714246992e-06,22000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,21,2000,6.429999999999999e-06,7.023761633308534e-06,20000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,22,2000,6.429999999999999e-06,6.2902378885342725e-06,22000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,23,2000,6.429999999999999e-06,6.210009127990638e-06,20000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,24,2000,6.429999999999999e-06,6.2427719326370365e-06,20000,8,Success,vMFNM,1
