Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (GM),Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.332527585742943e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.923681347863946e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,6.752533402615276e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,3,2000,6.429999999999999e-06,5.7938067387955045e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,4,2000,6.429999999999999e-06,5.9823274278609285e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,5,2000,6.429999999999999e-06,5.941943918609007e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,6,2000,6.429999999999999e-06,6.166138070136585e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,7,2000,6.429999999999999e-06,6.00091675487472e-06,22000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,8,2000,6.429999999999999e-06,6.253436469583007e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,9,2000,6.429999999999999e-06,5.941796858671397e-06,22000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,10,2000,6.429999999999999e-06,6.406077317767021e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,11,2000,6.429999999999999e-06,6.115966765458808e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,12,2000,6.429999999999999e-06,6.167022169155534e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,13,2000,6.429999999999999e-06,5.893409128543373e-06,22000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,14,2000,6.429999999999999e-06,1.1009968606307773e-05,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,15,2000,6.429999999999999e-06,6.27745230843205e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,16,2000,6.429999999999999e-06,6.1456020037057816e-06,22000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,17,2000,6.429999999999999e-06,6.568400482723565e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,18,2000,6.429999999999999e-06,6.485770130612096e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,19,2000,6.429999999999999e-06,5.7780287688335615e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,20,2000,6.429999999999999e-06,6.0979245698615165e-06,22000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,21,2000,6.429999999999999e-06,6.043507794662232e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,22,2000,6.429999999999999e-06,5.692319695683653e-06,22000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,23,2000,6.429999999999999e-06,6.39134533916628e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,24,2000,6.429999999999999e-06,6.436995806770327e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,25,2000,6.429999999999999e-06,6.768316125710393e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,26,2000,6.429999999999999e-06,5.720169913412619e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,27,2000,6.429999999999999e-06,6.078402374064481e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,28,2000,6.429999999999999e-06,6.182465412747282e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,29,2000,6.429999999999999e-06,6.116330088257741e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,30,2000,6.429999999999999e-06,6.4432592305604685e-06,22000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,31,2000,6.429999999999999e-06,5.891255693976441e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,32,2000,6.429999999999999e-06,5.613691862992165e-06,22000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,33,2000,6.429999999999999e-06,6.330732875467937e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,34,2000,6.429999999999999e-06,6.214484770798138e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,35,2000,6.429999999999999e-06,5.961058417462679e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,36,2000,6.429999999999999e-06,5.84010111993394e-06,22000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,37,2000,6.429999999999999e-06,5.747028996607093e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,38,2000,6.429999999999999e-06,6.225987229221772e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,39,2000,6.429999999999999e-06,6.161887563526989e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,40,2000,6.429999999999999e-06,6.297890156537155e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,41,2000,6.429999999999999e-06,6.145270956328867e-06,22000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,42,2000,6.429999999999999e-06,6.043385800269129e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,43,2000,6.429999999999999e-06,6.893087991976282e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,44,2000,6.429999999999999e-06,6.107134952477418e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,45,2000,6.429999999999999e-06,6.354192079050875e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,46,2000,6.429999999999999e-06,6.028868571071265e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,47,2000,6.429999999999999e-06,6.090049498539311e-06,22000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,48,2000,6.429999999999999e-06,5.75743816703078e-06,20000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,49,2000,6.429999999999999e-06,7.186781372334963e-06,20000,8,Success,GM,1
