Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (GM),Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.300052559739167e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.160256210840676e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,2,3000,6.429999999999999e-06,6.260045095247977e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,3,3000,6.429999999999999e-06,6.44432388613804e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,4,3000,6.429999999999999e-06,6.257114589917339e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,5,3000,6.429999999999999e-06,6.043109640466388e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,6,3000,6.429999999999999e-06,6.30412841223679e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,7,3000,6.429999999999999e-06,5.852060317618674e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,8,3000,6.429999999999999e-06,6.568403662593949e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,9,3000,6.429999999999999e-06,6.143861918706019e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,10,3000,6.429999999999999e-06,6.390417060610666e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,11,3000,6.429999999999999e-06,6.336535657991623e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,12,3000,6.429999999999999e-06,6.0507358110991434e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,13,3000,6.429999999999999e-06,6.27732421623981e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,14,3000,6.429999999999999e-06,9.343428951346399e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,15,3000,6.429999999999999e-06,6.465621207031235e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,16,3000,6.429999999999999e-06,6.06088978666953e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,17,3000,6.429999999999999e-06,6.41374338303593e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,18,3000,6.429999999999999e-06,6.382271906403073e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,19,3000,6.429999999999999e-06,6.255163657787134e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,20,3000,6.429999999999999e-06,7.504452291683142e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,21,3000,6.429999999999999e-06,6.5207362647602836e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,22,3000,6.429999999999999e-06,7.459190946896919e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,23,3000,6.429999999999999e-06,5.993539128519079e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,24,3000,6.429999999999999e-06,6.281130726976015e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,25,3000,6.429999999999999e-06,6.771689779025564e-06,30000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,26,3000,6.429999999999999e-06,6.382669623097283e-06,30000,8,Success,GM,1
