Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (vMFNM),Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.211580137641101e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.2327090313191145e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,2,3000,6.429999999999999e-06,6.674266935741545e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,3,3000,6.429999999999999e-06,6.0511600553849776e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,4,3000,6.429999999999999e-06,6.312533889364668e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,5,3000,6.429999999999999e-06,6.289790926326117e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,6,3000,6.429999999999999e-06,5.9833609361224114e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,7,3000,6.429999999999999e-06,6.297163316022381e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,8,3000,6.429999999999999e-06,6.337082770718469e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,9,3000,6.429999999999999e-06,6.37171351314456e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,10,3000,6.429999999999999e-06,6.301831614337903e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,11,3000,6.429999999999999e-06,6.499065473852894e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,12,3000,6.429999999999999e-06,6.417014852807373e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,13,3000,6.429999999999999e-06,6.679150783784812e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,14,3000,6.429999999999999e-06,5.986269891133059e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,15,3000,6.429999999999999e-06,6.3018120540089305e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,16,3000,6.429999999999999e-06,6.345530981996826e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,17,3000,6.429999999999999e-06,6.6506111374366925e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,18,3000,6.429999999999999e-06,6.3841074783335826e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,19,3000,6.429999999999999e-06,6.517680997991537e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,20,3000,6.429999999999999e-06,6.105399053635892e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,21,3000,6.429999999999999e-06,6.286305371330926e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,22,3000,6.429999999999999e-06,6.1177402677765695e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,23,3000,6.429999999999999e-06,6.392844120247831e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,24,3000,6.429999999999999e-06,6.399616615849832e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,25,3000,6.429999999999999e-06,6.343593882570433e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,26,3000,6.429999999999999e-06,6.635638475694661e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,27,3000,6.429999999999999e-06,6.15332628056219e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,28,3000,6.429999999999999e-06,6.4140750532634986e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,29,3000,6.429999999999999e-06,6.295186443122816e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,30,3000,6.429999999999999e-06,5.942477089891309e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,31,3000,6.429999999999999e-06,6.544370264300078e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,32,3000,6.429999999999999e-06,6.431150614019189e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,33,3000,6.429999999999999e-06,6.152321230615402e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,34,3000,6.429999999999999e-06,5.918637124308262e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,35,3000,6.429999999999999e-06,6.33345898638218e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,36,3000,6.429999999999999e-06,6.395034985034688e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,37,3000,6.429999999999999e-06,6.120678456642436e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,38,3000,6.429999999999999e-06,6.503463044612846e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,39,3000,6.429999999999999e-06,6.807532627327152e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,40,3000,6.429999999999999e-06,5.834566852297968e-06,30000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,41,3000,6.429999999999999e-06,6.160487186936486e-06,30000,8,Success,vMFNM,1
