Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (vMFNM),Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.349796961356878e-06,40000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,1,4000,6.429999999999999e-06,6.2859494095906575e-06,40000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,2,4000,6.429999999999999e-06,6.2094479384409554e-06,40000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,3,4000,6.429999999999999e-06,6.480476085956697e-06,40000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,4,4000,6.429999999999999e-06,6.263451968559874e-06,40000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,5,4000,6.429999999999999e-06,6.891918173329173e-06,40000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,6,4000,6.429999999999999e-06,6.386916328380078e-06,40000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,7,4000,6.429999999999999e-06,6.314347622962636e-06,40000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,8,4000,6.429999999999999e-06,6.559024405471544e-06,40000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,9,4000,6.429999999999999e-06,6.354030618838698e-06,40000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,10,4000,6.429999999999999e-06,6.290727600046115e-06,40000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,11,4000,6.429999999999999e-06,6.590959220498068e-06,40000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,12,4000,6.429999999999999e-06,6.053034797722856e-06,40000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,13,4000,6.429999999999999e-06,6.265116656790177e-06,40000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,14,4000,6.429999999999999e-06,6.4365339785458775e-06,40000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,15,4000,6.429999999999999e-06,6.082324804162193e-06,40000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,16,4000,6.429999999999999e-06,6.262580119427076e-06,40000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,17,4000,6.429999999999999e-06,6.437591789365792e-06,40000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,18,4000,6.429999999999999e-06,6.443314361298338e-06,40000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,19,4000,6.429999999999999e-06,6.47484975405516e-06,40000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,20,4000,6.429999999999999e-06,6.549488104216381e-06,40000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,21,4000,6.429999999999999e-06,6.380010490558434e-06,40000,8,Success,vMFNM,1
