Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (GM),Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.265507375555101e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,1,4000,6.429999999999999e-06,6.469285042065794e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,2,4000,6.429999999999999e-06,6.250541544102873e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,3,4000,6.429999999999999e-06,6.056122521841561e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,4,4000,6.429999999999999e-06,5.9794171996114215e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,5,4000,6.429999999999999e-06,6.106161157385983e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,6,4000,6.429999999999999e-06,6.027772855895091e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,7,4000,6.429999999999999e-06,6.1021255236135745e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,8,4000,6.429999999999999e-06,6.149299917406111e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,9,4000,6.429999999999999e-06,5.879844893455763e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,10,4000,6.429999999999999e-06,6.088001480051661e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,11,4000,6.429999999999999e-06,5.8848501078804464e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,12,4000,6.429999999999999e-06,6.461968088051958e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,13,4000,6.429999999999999e-06,6.249906351260507e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,14,4000,6.429999999999999e-06,7.399025457335969e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,15,4000,6.429999999999999e-06,6.390903783985329e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,16,4000,6.429999999999999e-06,6.5231852919168e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,17,4000,6.429999999999999e-06,5.9650569041142235e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,18,4000,6.429999999999999e-06,6.615320431332747e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,19,4000,6.429999999999999e-06,6.246830260193145e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,20,4000,6.429999999999999e-06,5.974790015121689e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,21,4000,6.429999999999999e-06,6.067800580904802e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,22,4000,6.429999999999999e-06,6.250953202076348e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,23,4000,6.429999999999999e-06,6.5783090872222214e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,24,4000,6.429999999999999e-06,6.118608929295342e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,25,4000,6.429999999999999e-06,6.364787787801935e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,26,4000,6.429999999999999e-06,6.319252937445353e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,27,4000,6.429999999999999e-06,6.335481297921933e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,28,4000,6.429999999999999e-06,6.179568024549706e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,29,4000,6.429999999999999e-06,6.0019868700771e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,30,4000,6.429999999999999e-06,7.74305107233082e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,31,4000,6.429999999999999e-06,6.3871535337704784e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,32,4000,6.429999999999999e-06,6.1533493621770216e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,33,4000,6.429999999999999e-06,6.098734921202343e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,34,4000,6.429999999999999e-06,6.2499612457699345e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,35,4000,6.429999999999999e-06,6.380255182545882e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,36,4000,6.429999999999999e-06,6.089603304979411e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,37,4000,6.429999999999999e-06,6.601165253791038e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,38,4000,6.429999999999999e-06,6.311935160547645e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,39,4000,6.429999999999999e-06,7.217847503527041e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,40,4000,6.429999999999999e-06,6.6341333761378085e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,41,4000,6.429999999999999e-06,6.3484092762754715e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,42,4000,6.429999999999999e-06,6.098073233382431e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,43,4000,6.429999999999999e-06,6.2621588948317035e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,44,4000,6.429999999999999e-06,1.1651767371230442e-05,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,45,4000,6.429999999999999e-06,6.105662234972272e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,46,4000,6.429999999999999e-06,6.362176783817261e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,47,4000,6.429999999999999e-06,6.345292174617367e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,48,4000,6.429999999999999e-06,6.095745319232534e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,49,4000,6.429999999999999e-06,6.155370959308496e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,50,4000,6.429999999999999e-06,6.193551465349836e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,51,4000,6.429999999999999e-06,6.2703319806628205e-06,40000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,52,4000,6.429999999999999e-06,2.847539942483842e-05,40000,8,Success,GM,1
