Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (GM),Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.146114300431378e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.7915496459886625e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,2,5000,6.429999999999999e-06,6.219831595294559e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,3,5000,6.429999999999999e-06,6.328730521950091e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,4,5000,6.429999999999999e-06,6.193845259333677e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,5,5000,6.429999999999999e-06,6.006538333804721e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,6,5000,6.429999999999999e-06,6.447726478143695e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,7,5000,6.429999999999999e-06,5.813045884978652e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,8,5000,6.429999999999999e-06,6.2443927167197935e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,9,5000,6.429999999999999e-06,6.3867855511932855e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,10,5000,6.429999999999999e-06,6.0814582939427955e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,11,5000,6.429999999999999e-06,5.940194453928423e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,12,5000,6.429999999999999e-06,6.084911393103459e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,13,5000,6.429999999999999e-06,6.966248152744987e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,14,5000,6.429999999999999e-06,6.00909722463813e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,15,5000,6.429999999999999e-06,5.989409971097623e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,16,5000,6.429999999999999e-06,6.302666598610989e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,17,5000,6.429999999999999e-06,5.8870665926081975e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,18,5000,6.429999999999999e-06,6.026941090362784e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,19,5000,6.429999999999999e-06,5.9233669616255e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,20,5000,6.429999999999999e-06,6.014289979974985e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,21,5000,6.429999999999999e-06,6.00721025160971e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,22,5000,6.429999999999999e-06,6.154584723301279e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,23,5000,6.429999999999999e-06,6.072984627224e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,24,5000,6.429999999999999e-06,6.089563541949175e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,25,5000,6.429999999999999e-06,6.1867649667767715e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,26,5000,6.429999999999999e-06,6.096682672580301e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,27,5000,6.429999999999999e-06,5.948625524567264e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,28,5000,6.429999999999999e-06,6.263151604972142e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,29,5000,6.429999999999999e-06,6.468959635013918e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,30,5000,6.429999999999999e-06,6.029934254367358e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,31,5000,6.429999999999999e-06,6.215674720459895e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,32,5000,6.429999999999999e-06,5.99673690839442e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,33,5000,6.429999999999999e-06,6.0989303394221055e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,34,5000,6.429999999999999e-06,6.941726949229373e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,35,5000,6.429999999999999e-06,6.224761489331262e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,36,5000,6.429999999999999e-06,5.951342465631991e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,37,5000,6.429999999999999e-06,6.1108311564198005e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,38,5000,6.429999999999999e-06,6.365430618434575e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,39,5000,6.429999999999999e-06,6.7238633182446284e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,40,5000,6.429999999999999e-06,6.197836432327207e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,41,5000,6.429999999999999e-06,6.349610337581335e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,42,5000,6.429999999999999e-06,6.2846633837083025e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,43,5000,6.429999999999999e-06,6.325841608573077e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,44,5000,6.429999999999999e-06,6.272032636941679e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,45,5000,6.429999999999999e-06,5.801076668476335e-06,50000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,46,5000,6.429999999999999e-06,6.4260161745517585e-06,50000,8,Success,GM,1
