Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (vMFNM),Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.218666704945866e-06,50000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.314129030889247e-06,50000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,2,5000,6.429999999999999e-06,6.716106184912112e-06,50000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,3,5000,6.429999999999999e-06,6.356587948723501e-06,50000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,4,5000,6.429999999999999e-06,6.30584307213598e-06,50000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,5,5000,6.429999999999999e-06,6.442634777748084e-06,50000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,6,5000,6.429999999999999e-06,6.433753098979051e-06,50000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,7,5000,6.429999999999999e-06,6.4362465869798355e-06,50000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,8,5000,6.429999999999999e-06,6.532857203159123e-06,50000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,9,5000,6.429999999999999e-06,6.11775698673725e-06,50000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,10,5000,6.429999999999999e-06,6.3242324168706205e-06,50000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,11,5000,6.429999999999999e-06,6.2952377638891984e-06,50000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,12,5000,6.429999999999999e-06,6.432462288831772e-06,50000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,13,5000,6.429999999999999e-06,6.529306165856127e-06,50000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,14,5000,6.429999999999999e-06,6.107620416628904e-06,50000,8,Success,vMFNM,1
