Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (GM),Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.493150484236039e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,1,6000,6.429999999999999e-06,6.438569084134589e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,2,6000,6.429999999999999e-06,6.7220369968058885e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,3,6000,6.429999999999999e-06,5.938531234066114e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,4,6000,6.429999999999999e-06,6.126118625014961e-06,66000,9,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,5,6000,6.429999999999999e-06,6.2195685119553595e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,6,6000,6.429999999999999e-06,5.9880297870900445e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,7,6000,6.429999999999999e-06,6.175971190170134e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,8,6000,6.429999999999999e-06,6.399980272023176e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,9,6000,6.429999999999999e-06,6.24097802174585e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,10,6000,6.429999999999999e-06,6.126393581329358e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,11,6000,6.429999999999999e-06,6.0537202951993515e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,12,6000,6.429999999999999e-06,6.554169540018387e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,13,6000,6.429999999999999e-06,6.16522794385155e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,14,6000,6.429999999999999e-06,9.159645410930287e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,15,6000,6.429999999999999e-06,6.262706721293368e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,16,6000,6.429999999999999e-06,6.1888054337080065e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,17,6000,6.429999999999999e-06,6.02755022434286e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,18,6000,6.429999999999999e-06,6.26100172917689e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,19,6000,6.429999999999999e-06,6.1542795213390455e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,20,6000,6.429999999999999e-06,6.777139995268992e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,21,6000,6.429999999999999e-06,6.108364002823121e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,22,6000,6.429999999999999e-06,6.449897563970122e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,23,6000,6.429999999999999e-06,6.245470375219784e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,24,6000,6.429999999999999e-06,6.120295333364993e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,25,6000,6.429999999999999e-06,6.36608936996156e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,26,6000,6.429999999999999e-06,6.202116580801662e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,27,6000,6.429999999999999e-06,6.197984299088265e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,28,6000,6.429999999999999e-06,6.799067057073627e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,29,6000,6.429999999999999e-06,6.080890067089639e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,30,6000,6.429999999999999e-06,6.359683144118327e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,31,6000,6.429999999999999e-06,5.943015621748908e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,32,6000,6.429999999999999e-06,6.249730753956448e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,33,6000,6.429999999999999e-06,6.0872958081190735e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,34,6000,6.429999999999999e-06,6.277238550209376e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,35,6000,6.429999999999999e-06,7.2828793650501695e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,36,6000,6.429999999999999e-06,6.268196448685169e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,37,6000,6.429999999999999e-06,6.007412536963724e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,38,6000,6.429999999999999e-06,6.225707963825443e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,39,6000,6.429999999999999e-06,6.747092960462521e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,40,6000,6.429999999999999e-06,6.173207627954625e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,41,6000,6.429999999999999e-06,6.293774750501937e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,42,6000,6.429999999999999e-06,6.6267392624935855e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,43,6000,6.429999999999999e-06,6.346318024195675e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,44,6000,6.429999999999999e-06,6.066727642345141e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,45,6000,6.429999999999999e-06,6.084496471497032e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,46,6000,6.429999999999999e-06,6.426693901584053e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,47,6000,6.429999999999999e-06,6.097633720622745e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,48,6000,6.429999999999999e-06,6.264549338133368e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,49,6000,6.429999999999999e-06,6.357046586362148e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,50,6000,6.429999999999999e-06,6.268126225275669e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,51,6000,6.429999999999999e-06,6.090720505544327e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,52,6000,6.429999999999999e-06,6.1344679092843784e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,53,6000,6.429999999999999e-06,6.1199359939497925e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,54,6000,6.429999999999999e-06,5.977115552197793e-06,60000,8,Success,GM,1
EnKF (GM),Nonlinear Oscillator Problem,55,6000,6.429999999999999e-06,5.916176861897086e-06,66000,9,Success,GM,1
