Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (vMFNM),Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.39629801480415e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,1,6000,6.429999999999999e-06,6.558644264631287e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,2,6000,6.429999999999999e-06,6.05258416115189e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,3,6000,6.429999999999999e-06,6.442090228978908e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,4,6000,6.429999999999999e-06,6.3925235570929e-06,66000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,5,6000,6.429999999999999e-06,6.533696800784586e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,6,6000,6.429999999999999e-06,6.270719688913323e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,7,6000,6.429999999999999e-06,6.349000296882742e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,8,6000,6.429999999999999e-06,6.550700020301304e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,9,6000,6.429999999999999e-06,6.506111999720653e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,10,6000,6.429999999999999e-06,6.217514009398459e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,11,6000,6.429999999999999e-06,6.484040595491049e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,12,6000,6.429999999999999e-06,6.363264921129746e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,13,6000,6.429999999999999e-06,6.329094382544662e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,14,6000,6.429999999999999e-06,6.2897394108988795e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,15,6000,6.429999999999999e-06,6.280157366341316e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,16,6000,6.429999999999999e-06,6.395716274975475e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,17,6000,6.429999999999999e-06,6.257606135518918e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,18,6000,6.429999999999999e-06,6.279508340980917e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,19,6000,6.429999999999999e-06,6.3513661107740754e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,20,6000,6.429999999999999e-06,6.321398167902326e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,21,6000,6.429999999999999e-06,6.541620981313054e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,22,6000,6.429999999999999e-06,6.509070308158009e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,23,6000,6.429999999999999e-06,6.293366000668219e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,24,6000,6.429999999999999e-06,6.218315997240296e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,25,6000,6.429999999999999e-06,6.291663825981883e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,26,6000,6.429999999999999e-06,6.245415020011758e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,27,6000,6.429999999999999e-06,6.505803530183776e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,28,6000,6.429999999999999e-06,6.480117190936227e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,29,6000,6.429999999999999e-06,6.308107877227888e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,30,6000,6.429999999999999e-06,6.266932689147719e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,31,6000,6.429999999999999e-06,6.380664108647338e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,32,6000,6.429999999999999e-06,6.33103618952109e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,33,6000,6.429999999999999e-06,6.311117419761439e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,34,6000,6.429999999999999e-06,6.173169784849886e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,35,6000,6.429999999999999e-06,6.1484375605963435e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,36,6000,6.429999999999999e-06,6.5476861938533436e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,37,6000,6.429999999999999e-06,6.1962041179702666e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,38,6000,6.429999999999999e-06,6.300989261433402e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,39,6000,6.429999999999999e-06,6.562443715340781e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,40,6000,6.429999999999999e-06,6.514410480112543e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,41,6000,6.429999999999999e-06,6.32834915016077e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,42,6000,6.429999999999999e-06,6.459846727752946e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,43,6000,6.429999999999999e-06,6.411149556904008e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,44,6000,6.429999999999999e-06,6.725564445796109e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,45,6000,6.429999999999999e-06,6.573921453688222e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,46,6000,6.429999999999999e-06,6.329609429136876e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,47,6000,6.429999999999999e-06,6.50988402221155e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,48,6000,6.429999999999999e-06,6.248556812981713e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,49,6000,6.429999999999999e-06,6.3991696580174975e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,50,6000,6.429999999999999e-06,6.548095108890812e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,51,6000,6.429999999999999e-06,6.1075672878199925e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,52,6000,6.429999999999999e-06,6.2377728726321725e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,53,6000,6.429999999999999e-06,6.471289753628775e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,54,6000,6.429999999999999e-06,6.088046882353362e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,55,6000,6.429999999999999e-06,6.16064446660242e-06,66000,9,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,56,6000,6.429999999999999e-06,6.357675269490434e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,57,6000,6.429999999999999e-06,6.73641873645762e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,58,6000,6.429999999999999e-06,6.224295817489307e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,59,6000,6.429999999999999e-06,6.542912049756175e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,60,6000,6.429999999999999e-06,6.291174110949129e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,61,6000,6.429999999999999e-06,6.321098992650683e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,62,6000,6.429999999999999e-06,6.2417986812379695e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,63,6000,6.429999999999999e-06,6.326334913188488e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,64,6000,6.429999999999999e-06,6.571620835166741e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,65,6000,6.429999999999999e-06,6.26215994963612e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,66,6000,6.429999999999999e-06,6.749013074092653e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,67,6000,6.429999999999999e-06,6.336359923218899e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,68,6000,6.429999999999999e-06,6.747649765146436e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,69,6000,6.429999999999999e-06,6.392331278168066e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,70,6000,6.429999999999999e-06,6.278759366580023e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,71,6000,6.429999999999999e-06,6.1552482632398e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,72,6000,6.429999999999999e-06,6.079557630604399e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,73,6000,6.429999999999999e-06,6.442727758743302e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,74,6000,6.429999999999999e-06,6.26497356245893e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,75,6000,6.429999999999999e-06,6.381868740186107e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,76,6000,6.429999999999999e-06,6.672422970424555e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,77,6000,6.429999999999999e-06,6.196702249055386e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,78,6000,6.429999999999999e-06,6.497626238266268e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,79,6000,6.429999999999999e-06,6.4554887033588155e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,80,6000,6.429999999999999e-06,6.1471473368713595e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,81,6000,6.429999999999999e-06,6.399534918354951e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,82,6000,6.429999999999999e-06,5.99792409637806e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,83,6000,6.429999999999999e-06,6.456766187122635e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,84,6000,6.429999999999999e-06,6.1816359597229705e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,85,6000,6.429999999999999e-06,6.476327232284594e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,86,6000,6.429999999999999e-06,6.297573553865609e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,87,6000,6.429999999999999e-06,6.06748606642666e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,88,6000,6.429999999999999e-06,6.551986425516642e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,89,6000,6.429999999999999e-06,6.5328631689779546e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,90,6000,6.429999999999999e-06,6.4729567342848035e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,91,6000,6.429999999999999e-06,6.5419658474963246e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,92,6000,6.429999999999999e-06,6.419381163452372e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,93,6000,6.429999999999999e-06,6.431198705008122e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,94,6000,6.429999999999999e-06,6.392348198586334e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,95,6000,6.429999999999999e-06,6.491365854528832e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,96,6000,6.429999999999999e-06,6.276183032586817e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,97,6000,6.429999999999999e-06,6.228558817355499e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,98,6000,6.429999999999999e-06,6.295673062660024e-06,60000,8,Success,vMFNM,1
EnKF (vMFNM),Nonlinear Oscillator Problem,99,6000,6.429999999999999e-06,6.272314935106898e-06,60000,8,Success,vMFNM,1
