Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (GM),Flow-rate Problem (d=10),0,1000,0.000388,0.00023513646416196447,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),1,1000,0.000388,0.00028027545001037843,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),2,1000,0.000388,0.00024252966092613303,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),3,1000,0.000388,0.0002967851701964509,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),4,1000,0.000388,0.00023711505408861204,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),5,1000,0.000388,0.00021266700932641284,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),6,1000,0.000388,0.00030676897761988653,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),7,1000,0.000388,0.0002852715765582954,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),8,1000,0.000388,0.0001848456251523143,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),9,1000,0.000388,0.0002312731989766258,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),10,1000,0.000388,0.0002910717633024719,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),11,1000,0.000388,0.0002534480616584043,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),12,1000,0.000388,0.00026743003454331263,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),13,1000,0.000388,0.00023308095046941946,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),14,1000,0.000388,0.0002578281195478428,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),15,1000,0.000388,0.0003078676247352285,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),16,1000,0.000388,0.0003005028409503007,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),17,1000,0.000388,0.0002679071445045891,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),18,1000,0.000388,0.00027677988059151805,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),19,1000,0.000388,0.00025732938893113306,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),20,1000,0.000388,0.0002739264875915523,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),21,1000,0.000388,0.0003054900831673217,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),22,1000,0.000388,0.00028569111017137254,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),23,1000,0.000388,0.00024384909387678994,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),24,1000,0.000388,0.0002778160635985151,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),25,1000,0.000388,0.000237459843940937,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),26,1000,0.000388,0.00026127383179586685,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),27,1000,0.000388,0.0002551200394772406,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),28,1000,0.000388,0.0002591452920248636,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),29,1000,0.000388,0.0002893204122859857,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),30,1000,0.000388,0.0003352707331871151,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),31,1000,0.000388,0.00028076939068917946,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),32,1000,0.000388,0.00026854404440254973,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),33,1000,0.000388,0.00028306704582665927,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),34,1000,0.000388,0.00022976945156188327,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),35,1000,0.000388,0.00025121446974551526,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),36,1000,0.000388,0.00029160964428697004,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),37,1000,0.000388,0.0002676895992563154,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),38,1000,0.000388,0.0002719493947066827,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),39,1000,0.000388,0.000297131869655948,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),40,1000,0.000388,0.0002526514726339337,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),41,1000,0.000388,0.00027077856180377196,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),42,1000,0.000388,0.00029658502056284785,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),43,1000,0.000388,0.0002648694471192821,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),44,1000,0.000388,0.00024545637268293184,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),45,1000,0.000388,0.0002488983466905097,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),46,1000,0.000388,0.0002747519515075537,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),47,1000,0.000388,0.00031051533268226664,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),48,1000,0.000388,0.0002661847791107807,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),49,1000,0.000388,0.0002778040827940759,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),50,1000,0.000388,0.00030693622584250117,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),51,1000,0.000388,0.00022790537991299395,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),52,1000,0.000388,0.000221603323194233,7000,6,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),53,1000,0.000388,0.0002719473981018735,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),54,1000,0.000388,0.000302642161830719,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),55,1000,0.000388,0.0002578496299349371,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),56,1000,0.000388,0.00025383621624391645,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),57,1000,0.000388,0.0002833597961844197,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),58,1000,0.000388,0.0002352136654543563,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),59,1000,0.000388,0.00027141572171762235,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),60,1000,0.000388,0.00033358535774816715,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),61,1000,0.000388,0.00025528576707247927,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),62,1000,0.000388,0.0003578646205235449,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),63,1000,0.000388,0.0002685151364537899,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),64,1000,0.000388,0.0002753275525584394,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),65,1000,0.000388,0.00026569837525540393,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),66,1000,0.000388,0.0003052365095635139,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),67,1000,0.000388,0.0002376555456682873,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),68,1000,0.000388,0.0002667720296915886,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),69,1000,0.000388,0.0001826777392085307,7000,6,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),70,1000,0.000388,0.0003090259280020945,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),71,1000,0.000388,0.0002060676342205526,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),72,1000,0.000388,0.0002688074845841992,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),73,1000,0.000388,0.0002841030878314578,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),74,1000,0.000388,0.00028197049309065456,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),75,1000,0.000388,0.0003035095148489931,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),76,1000,0.000388,0.00024429058983590915,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),77,1000,0.000388,0.0002683882978808189,6000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),78,1000,0.000388,0.00028619069696567806,6000,5,Success,GM,1
