Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (aCS),Flow-rate Problem (d=10),0,1000,0.000388,0.0001848019043356846,7000,6,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),1,1000,0.000388,0.00038566512015146814,6000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),2,1000,0.000388,0.0003798100945496942,6000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),3,1000,0.000388,0.00029811911613730166,6000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),4,1000,0.000388,0.00026423542379958937,6000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),5,1000,0.000388,0.0002051112327784972,6000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),6,1000,0.000388,0.00023650739107327294,6000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),7,1000,0.000388,0.000412294585818688,6000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),8,1000,0.000388,0.00025811383471955766,6000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),9,1000,0.000388,0.00026764198813174786,7000,6,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),10,1000,0.000388,0.00020525566032041922,7000,6,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),11,1000,0.000388,0.0002607631754772044,7000,6,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),12,1000,0.000388,0.00026649436414158883,6000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),13,1000,0.000388,0.00029860824977301527,6000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),14,1000,0.000388,0.00033817785498943103,6000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),15,1000,0.000388,0.0004692180526025868,6000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),16,1000,0.000388,0.00040586857561,6000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),17,1000,0.000388,0.00010701850148696389,7000,6,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),18,1000,0.000388,0.00022360854758756506,6000,5,Success,aCS,1
