Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (aCS),Flow-rate Problem (d=10),0,2000,0.000388,0.00032325757044525806,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),1,2000,0.000388,0.0005588427270725028,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),2,2000,0.000388,0.0004807599366654184,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),3,2000,0.000388,0.0002434177436441518,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),4,2000,0.000388,0.0002700844108007408,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),5,2000,0.000388,0.0002965092172368134,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),6,2000,0.000388,0.0002710540256965775,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),7,2000,0.000388,0.0005085133242038496,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),8,2000,0.000388,0.00028964156156212367,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),9,2000,0.000388,0.00037230902927272517,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),10,2000,0.000388,0.00023725927209739702,14000,6,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),11,2000,0.000388,0.0002662264128813263,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),12,2000,0.000388,0.00021467027162568183,14000,6,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),13,2000,0.000388,0.00031268748967023933,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),14,2000,0.000388,0.0002771539929839238,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),15,2000,0.000388,0.00040023796594370687,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),16,2000,0.000388,0.00024175718593662834,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),17,2000,0.000388,0.00032288827261527336,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),18,2000,0.000388,0.00029486023373499244,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),19,2000,0.000388,0.000497649156400517,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),20,2000,0.000388,0.0003310931968042303,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),21,2000,0.000388,0.00032837420131729886,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),22,2000,0.000388,0.0003176064702761728,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),23,2000,0.000388,0.0003038366556835209,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),24,2000,0.000388,0.0002817962692616707,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),25,2000,0.000388,0.0003922528512549677,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),26,2000,0.000388,0.00022177630168986292,14000,6,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),27,2000,0.000388,0.0003351433980072359,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),28,2000,0.000388,0.00027159720950044764,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),29,2000,0.000388,0.00027445375232056644,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),30,2000,0.000388,0.00027486204939404713,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),31,2000,0.000388,0.0004169586399026985,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),32,2000,0.000388,0.0004337551456275034,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),33,2000,0.000388,0.0003651044136626536,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),34,2000,0.000388,0.00038552722657745123,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),35,2000,0.000388,0.00044850577317858277,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),36,2000,0.000388,0.0003403689538388431,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),37,2000,0.000388,0.00019019128543889784,14000,6,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),38,2000,0.000388,0.0003758678202615836,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),39,2000,0.000388,0.00028371875422903635,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),40,2000,0.000388,0.00042004408067296923,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),41,2000,0.000388,0.0005223408957554513,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),42,2000,0.000388,0.00038517028064981426,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),43,2000,0.000388,0.00032579495343170226,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),44,2000,0.000388,0.0002842252537223496,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),45,2000,0.000388,0.00027809727314850896,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),46,2000,0.000388,0.0002928142367494832,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),47,2000,0.000388,0.000693821178591218,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),48,2000,0.000388,0.000494454115267952,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),49,2000,0.000388,0.0003688698462948801,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),50,2000,0.000388,0.0003445803044819541,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),51,2000,0.000388,0.00039561381927260316,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),52,2000,0.000388,0.0005356085821555688,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),53,2000,0.000388,0.0003407132785063359,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),54,2000,0.000388,0.000302679815869725,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),55,2000,0.000388,0.00032786207858093196,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),56,2000,0.000388,0.0003280320006597361,12000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),57,2000,0.000388,0.0004218101001142735,12000,5,Success,aCS,1
