Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (GM),Flow-rate Problem (d=10),0,2000,0.000388,0.0003105352547464948,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),1,2000,0.000388,0.00030642908415021906,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),2,2000,0.000388,0.0003127950635538511,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),3,2000,0.000388,0.0002913904755080155,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),4,2000,0.000388,0.00028375548451425273,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),5,2000,0.000388,0.0002981275900684084,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),6,2000,0.000388,0.0002930823809619948,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),7,2000,0.000388,0.0002639553427099336,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),8,2000,0.000388,0.00030542076065166995,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),9,2000,0.000388,0.00032020990617073557,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),10,2000,0.000388,0.00030437397962766635,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),11,2000,0.000388,0.0003216654799040759,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),12,2000,0.000388,0.00030455430866917666,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),13,2000,0.000388,0.00030060135958790394,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),14,2000,0.000388,0.00031954331931084327,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),15,2000,0.000388,0.000270601357505396,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),16,2000,0.000388,0.0003008216352185258,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),17,2000,0.000388,0.00029980255562613776,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),18,2000,0.000388,0.00031084126934612663,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),19,2000,0.000388,0.0003044770567093882,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),20,2000,0.000388,0.0002841680510116308,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),21,2000,0.000388,0.0003115750284144566,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),22,2000,0.000388,0.00028272802183380266,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),23,2000,0.000388,0.0002985483380264605,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),24,2000,0.000388,0.0002764933602207758,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),25,2000,0.000388,0.00029609620386400665,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),26,2000,0.000388,0.0002855669362686504,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),27,2000,0.000388,0.00030736402210667133,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),28,2000,0.000388,0.00029675838237074796,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),29,2000,0.000388,0.0002717757245043331,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),30,2000,0.000388,0.0003153825459591385,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),31,2000,0.000388,0.0002776993178811055,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),32,2000,0.000388,0.00031374749248919934,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),33,2000,0.000388,0.0002925781032871405,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),34,2000,0.000388,0.00029691507487929544,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),35,2000,0.000388,0.0002927833078841881,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),36,2000,0.000388,0.000319476811920096,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),37,2000,0.000388,0.0003277729769135456,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),38,2000,0.000388,0.00028698045127849937,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),39,2000,0.000388,0.00032262529747324064,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),40,2000,0.000388,0.00027399950629408584,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),41,2000,0.000388,0.00026959543812597254,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),42,2000,0.000388,0.0002852787837348315,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),43,2000,0.000388,0.0003060009934688834,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),44,2000,0.000388,0.00029605498494268364,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),45,2000,0.000388,0.00030211545986330476,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),46,2000,0.000388,0.00026212193420337826,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),47,2000,0.000388,0.00029449350273115467,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),48,2000,0.000388,0.00030508818134025403,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),49,2000,0.000388,0.0002662877571151116,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),50,2000,0.000388,0.0002712105821006364,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),51,2000,0.000388,0.00030068954460450324,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),52,2000,0.000388,0.0002840648404484413,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),53,2000,0.000388,0.0002942455768353428,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),54,2000,0.000388,0.00030076296233212706,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),55,2000,0.000388,0.0003115249267740658,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),56,2000,0.000388,0.0003127588032387729,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),57,2000,0.000388,0.0002821854865035632,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),58,2000,0.000388,0.0003135572318113849,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),59,2000,0.000388,0.00032558615234329867,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),60,2000,0.000388,0.0003339772202827988,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),61,2000,0.000388,0.00028242798651863395,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),62,2000,0.000388,0.00029878953915004285,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),63,2000,0.000388,0.0002943432103232567,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),64,2000,0.000388,0.00030967043193659755,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),65,2000,0.000388,0.0002931626687880562,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),66,2000,0.000388,0.00032944935472825,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),67,2000,0.000388,0.00029470022814884135,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),68,2000,0.000388,0.0003071739733792118,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),69,2000,0.000388,0.0002978003324861578,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),70,2000,0.000388,0.0002869766383642419,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),71,2000,0.000388,0.0003008919710928533,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),72,2000,0.000388,0.00029138049719782105,12000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),73,2000,0.000388,0.0002862910468715862,12000,5,Success,GM,1
