Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (aCS),Flow-rate Problem (d=10),0,3000,0.000388,0.00021872717492165254,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),1,3000,0.000388,0.0002871183197092268,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),2,3000,0.000388,0.00025933014982163014,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),3,3000,0.000388,0.00021344485549106313,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),4,3000,0.000388,0.00021936895561202818,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),5,3000,0.000388,0.0002961750492154785,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),6,3000,0.000388,0.0002261148250912356,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),7,3000,0.000388,0.0004074056177051486,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),8,3000,0.000388,0.00024457784914858646,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),9,3000,0.000388,0.0003545336577623179,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),10,3000,0.000388,0.00021368105241080388,21000,6,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),11,3000,0.000388,0.00025611358414890593,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),12,3000,0.000388,0.00022181370297947458,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),13,3000,0.000388,0.00031141370971648157,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),14,3000,0.000388,0.0003398188862802164,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),15,3000,0.000388,0.00027455155603731016,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),16,3000,0.000388,0.0002089687769611059,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),17,3000,0.000388,0.00031334685387450316,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),18,3000,0.000388,0.0002117977876846196,21000,6,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),19,3000,0.000388,0.00029225387414379903,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),20,3000,0.000388,0.00034811894865685757,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),21,3000,0.000388,0.00023655646354947015,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),22,3000,0.000388,0.00025980606059598245,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),23,3000,0.000388,0.00036169908380698717,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),24,3000,0.000388,0.00027264771589793305,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),25,3000,0.000388,0.0002570455237659006,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),26,3000,0.000388,0.0002563080328431217,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),27,3000,0.000388,0.0003357607957077479,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),28,3000,0.000388,0.0003115782160923021,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),29,3000,0.000388,0.0002235910625582362,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),30,3000,0.000388,0.00026329786079097703,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),31,3000,0.000388,0.00024206302509743733,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),32,3000,0.000388,0.00032384777841235063,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),33,3000,0.000388,0.0002808805586759123,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),34,3000,0.000388,0.0002609010690275361,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),35,3000,0.000388,0.00024228669565950087,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),36,3000,0.000388,0.0002943712950131794,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),37,3000,0.000388,0.00030469252215421317,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),38,3000,0.000388,0.0002693015349329758,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),39,3000,0.000388,0.00020878071032894325,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),40,3000,0.000388,0.00023611838523505155,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),41,3000,0.000388,0.00026477641972809585,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),42,3000,0.000388,0.00023549465995330757,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),43,3000,0.000388,0.00031541044593158475,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),44,3000,0.000388,0.00035955788239945064,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),45,3000,0.000388,0.00025979636416099543,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),46,3000,0.000388,0.00029086181542584133,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),47,3000,0.000388,0.00027562399178671093,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),48,3000,0.000388,0.00026290890243881856,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),49,3000,0.000388,0.0003651653076384112,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),50,3000,0.000388,0.0002476065469132833,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),51,3000,0.000388,0.0002489395402096911,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),52,3000,0.000388,0.00023557790377937135,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),53,3000,0.000388,0.00022320630871753468,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),54,3000,0.000388,0.0003101358064091808,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),55,3000,0.000388,0.00030235703369633707,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),56,3000,0.000388,0.00025631500600659807,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),57,3000,0.000388,0.00023502885004660274,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),58,3000,0.000388,0.0002993847245280551,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),59,3000,0.000388,0.0002715958662936987,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),60,3000,0.000388,0.00026496358787247493,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),61,3000,0.000388,0.0002524998207760543,18000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),62,3000,0.000388,0.00034827606464135164,18000,5,Success,aCS,1
