Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (GM),Flow-rate Problem (d=10),0,3000,0.000388,0.0002978823386910682,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),1,3000,0.000388,0.000280452295168006,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),2,3000,0.000388,0.00027996875324521453,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),3,3000,0.000388,0.0002915803498753435,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),4,3000,0.000388,0.00028140128050259904,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),5,3000,0.000388,0.0002859556766442077,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),6,3000,0.000388,0.0002923302222212857,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),7,3000,0.000388,0.000281708083578671,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),8,3000,0.000388,0.0002920794552048608,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),9,3000,0.000388,0.0003052225841805464,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),10,3000,0.000388,0.0002680967186361609,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),11,3000,0.000388,0.00028658794856018747,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),12,3000,0.000388,0.0002664959522580775,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),13,3000,0.000388,0.0002768550074461673,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),14,3000,0.000388,0.0002970001841433113,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),15,3000,0.000388,0.0002960539922195422,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),16,3000,0.000388,0.0002741054676918704,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),17,3000,0.000388,0.00030236432275342203,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),18,3000,0.000388,0.0003051289687628589,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),19,3000,0.000388,0.0003059908310718172,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),20,3000,0.000388,0.0002692881995498755,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),21,3000,0.000388,0.00028552171914339073,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),22,3000,0.000388,0.0003040492071776478,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),23,3000,0.000388,0.0002937880859806217,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),24,3000,0.000388,0.0002740882537982802,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),25,3000,0.000388,0.0002807542510509711,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),26,3000,0.000388,0.0002608062877793157,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),27,3000,0.000388,0.00026993761445243873,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),28,3000,0.000388,0.00029033732176562954,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),29,3000,0.000388,0.0003036111278317515,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),30,3000,0.000388,0.0002922205158230954,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),31,3000,0.000388,0.000271687918041573,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),32,3000,0.000388,0.0002670027923092474,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),33,3000,0.000388,0.00027834386878836115,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),34,3000,0.000388,0.00028121662434882534,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),35,3000,0.000388,0.0002917011343779364,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),36,3000,0.000388,0.00027251020506873175,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),37,3000,0.000388,0.00030046136232263096,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),38,3000,0.000388,0.0002858320244493621,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),39,3000,0.000388,0.0002920297241689535,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),40,3000,0.000388,0.00028585906260812335,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),41,3000,0.000388,0.0002884380121317453,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),42,3000,0.000388,0.0002933860296141297,18000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),43,3000,0.000388,0.0002921298551676698,18000,5,Success,GM,1
