Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (GM),Flow-rate Problem (d=10),0,4000,0.000388,0.00030496361390896707,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),1,4000,0.000388,0.0002731710448591825,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),2,4000,0.000388,0.00029882430751800075,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),3,4000,0.000388,0.0002864468223487116,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),4,4000,0.000388,0.0002703744004540427,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),5,4000,0.000388,0.00028353268527637793,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),6,4000,0.000388,0.00029435352228810254,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),7,4000,0.000388,0.0002840659970619819,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),8,4000,0.000388,0.0002933656699160985,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),9,4000,0.000388,0.00029431019431659693,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),10,4000,0.000388,0.0002992752309264566,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),11,4000,0.000388,0.0002842481111917115,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),12,4000,0.000388,0.00030416980313186155,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),13,4000,0.000388,0.0002949421062372543,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),14,4000,0.000388,0.0002885668093169431,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),15,4000,0.000388,0.0002951587849246043,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),16,4000,0.000388,0.0002926432937640651,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),17,4000,0.000388,0.00028440283379729613,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),18,4000,0.000388,0.000294789157387875,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),19,4000,0.000388,0.00028519645309134877,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),20,4000,0.000388,0.0003019016781085689,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),21,4000,0.000388,0.00029023522129924023,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),22,4000,0.000388,0.00029730406508699013,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),23,4000,0.000388,0.0002991281261054669,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),24,4000,0.000388,0.00028079003742439984,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),25,4000,0.000388,0.00029956790383146934,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),26,4000,0.000388,0.0003001149105947546,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),27,4000,0.000388,0.00028879160490005365,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),28,4000,0.000388,0.00029539439892607467,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),29,4000,0.000388,0.0002716501580015532,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),30,4000,0.000388,0.00029141009555325745,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),31,4000,0.000388,0.00026817984598510235,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),32,4000,0.000388,0.0002882052529357399,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),33,4000,0.000388,0.00029506605852629885,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),34,4000,0.000388,0.0002777534578217603,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),35,4000,0.000388,0.00027557528993215263,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),36,4000,0.000388,0.00029615853872661495,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),37,4000,0.000388,0.0003063408527640682,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),38,4000,0.000388,0.0002965188734596962,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),39,4000,0.000388,0.0002820117661134094,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),40,4000,0.000388,0.0002865726764881732,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),41,4000,0.000388,0.00028077059915040215,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),42,4000,0.000388,0.00029168613575735115,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),43,4000,0.000388,0.00030940695230389755,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),44,4000,0.000388,0.00026976136826151295,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),45,4000,0.000388,0.0002863372533751563,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),46,4000,0.000388,0.0003059256823798507,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),47,4000,0.000388,0.0002907461406043105,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),48,4000,0.000388,0.00029874138175273716,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),49,4000,0.000388,0.0002892533376855704,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),50,4000,0.000388,0.0002676809446366612,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),51,4000,0.000388,0.00027578590202624966,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),52,4000,0.000388,0.0002893450829831727,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),53,4000,0.000388,0.0003022448511300341,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),54,4000,0.000388,0.0002849265188278017,24000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),55,4000,0.000388,0.0002840098387996237,24000,5,Success,GM,1
