Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (aCS),Flow-rate Problem (d=10),0,4000,0.000388,0.00025078038178200085,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),1,4000,0.000388,0.00033530736806494025,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),2,4000,0.000388,0.00029193660409196706,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),3,4000,0.000388,0.000262798051238986,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),4,4000,0.000388,0.00024674911375542657,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),5,4000,0.000388,0.0002669834879843675,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),6,4000,0.000388,0.00016590445841943214,28000,6,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),7,4000,0.000388,0.00031942825700925775,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),8,4000,0.000388,0.0002922175090125579,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),9,4000,0.000388,0.00036116825108642323,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),10,4000,0.000388,0.0002408093578024592,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),11,4000,0.000388,0.0002694523136153447,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),12,4000,0.000388,0.00030470837000100813,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),13,4000,0.000388,0.0002461833213194921,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),14,4000,0.000388,0.0002730495839995204,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),15,4000,0.000388,0.00036031612314482795,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),16,4000,0.000388,0.00029188639655385447,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),17,4000,0.000388,0.0002645932770441,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),18,4000,0.000388,0.00023412331428629543,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),19,4000,0.000388,0.0002795701896854493,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),20,4000,0.000388,0.00029731910714649224,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),21,4000,0.000388,0.000259323123061494,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),22,4000,0.000388,0.0003221065296836994,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),23,4000,0.000388,0.0002456183258197035,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),24,4000,0.000388,0.00024720616961220593,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),25,4000,0.000388,0.0003109623770950449,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),26,4000,0.000388,0.00036469475213702046,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),27,4000,0.000388,0.00026205914790279085,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),28,4000,0.000388,0.0003258504693368335,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),29,4000,0.000388,0.00026460815657841934,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),30,4000,0.000388,0.0002996529297572355,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),31,4000,0.000388,0.00028407174257880595,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),32,4000,0.000388,0.0003516812973925606,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),33,4000,0.000388,0.00032205109712784983,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),34,4000,0.000388,0.00030400716104232576,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),35,4000,0.000388,0.00034251122065544643,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),36,4000,0.000388,0.00038495486839029903,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),37,4000,0.000388,0.00036198950419368664,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),38,4000,0.000388,0.00028903323835606916,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),39,4000,0.000388,0.00036877094011038736,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),40,4000,0.000388,0.000270870394733422,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),41,4000,0.000388,0.00029868957440035463,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),42,4000,0.000388,0.0002745378316206265,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),43,4000,0.000388,0.0003606085965262059,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),44,4000,0.000388,0.0002702046638579869,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),45,4000,0.000388,0.00030016853842577187,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),46,4000,0.000388,0.00031423473661836785,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),47,4000,0.000388,0.00027959808232643765,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),48,4000,0.000388,0.00026664076288211204,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),49,4000,0.000388,0.00031758038219968144,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),50,4000,0.000388,0.0003267744910441329,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),51,4000,0.000388,0.0002464279492172912,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),52,4000,0.000388,0.00022219443997181792,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),53,4000,0.000388,0.0003914785198259289,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),54,4000,0.000388,0.00038098051842407776,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),55,4000,0.000388,0.0002736394633537486,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),56,4000,0.000388,0.00029480504533476045,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),57,4000,0.000388,0.0003512643297544934,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),58,4000,0.000388,0.00031350500162711956,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),59,4000,0.000388,0.00022654652969961717,24000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),60,4000,0.000388,0.0003162112561962635,24000,5,Success,aCS,1
