Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (GM),Flow-rate Problem (d=10),0,5000,0.000388,0.00029508078885165904,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),1,5000,0.000388,0.0002989889678393908,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),2,5000,0.000388,0.0002985930500292248,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),3,5000,0.000388,0.000284094770485549,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),4,5000,0.000388,0.00030007693478037103,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),5,5000,0.000388,0.00027949091702536794,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),6,5000,0.000388,0.00029337085989432306,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),7,5000,0.000388,0.00028253107737743577,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),8,5000,0.000388,0.0002809289852400483,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),9,5000,0.000388,0.0003086386387766194,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),10,5000,0.000388,0.00029146681324772723,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),11,5000,0.000388,0.00032071089813086556,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),12,5000,0.000388,0.00029091724046113117,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),13,5000,0.000388,0.00028453069523727266,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),14,5000,0.000388,0.0002951387098072935,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),15,5000,0.000388,0.00030237761993851816,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),16,5000,0.000388,0.0002913741515936672,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),17,5000,0.000388,0.0003059384345865605,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),18,5000,0.000388,0.0002871692371994911,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),19,5000,0.000388,0.00028817312072890286,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),20,5000,0.000388,0.00028768477047898326,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),21,5000,0.000388,0.000277382931144101,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),22,5000,0.000388,0.0002973642703907723,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),23,5000,0.000388,0.0003194118111709105,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),24,5000,0.000388,0.0002775284261170972,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),25,5000,0.000388,0.00029841499692152465,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),26,5000,0.000388,0.00029363193720872803,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),27,5000,0.000388,0.0003058962526004295,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),28,5000,0.000388,0.0003033356532823591,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),29,5000,0.000388,0.00029799402200275925,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),30,5000,0.000388,0.0002972959586659781,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),31,5000,0.000388,0.00029264963528049674,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),32,5000,0.000388,0.0002712780559226221,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),33,5000,0.000388,0.0002929357519765606,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),34,5000,0.000388,0.0002890550359526301,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),35,5000,0.000388,0.0002895032934892179,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),36,5000,0.000388,0.0002818033324669215,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),37,5000,0.000388,0.0002835823629978994,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),38,5000,0.000388,0.0003054808181372312,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),39,5000,0.000388,0.0002878302960327948,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),40,5000,0.000388,0.00027773615989858493,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),41,5000,0.000388,0.00029545681051104184,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),42,5000,0.000388,0.0002947803196750617,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),43,5000,0.000388,0.00032473154455159195,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),44,5000,0.000388,0.00029677583830922005,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),45,5000,0.000388,0.00028625563289527895,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),46,5000,0.000388,0.0002977751046639787,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),47,5000,0.000388,0.00031222948732270283,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),48,5000,0.000388,0.00029486611483956,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),49,5000,0.000388,0.000286806472259437,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),50,5000,0.000388,0.0003011098104941025,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),51,5000,0.000388,0.00027866037667656496,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),52,5000,0.000388,0.00030358990703608746,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),53,5000,0.000388,0.00029552357837085073,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),54,5000,0.000388,0.0002984258468200396,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),55,5000,0.000388,0.00029901972705782554,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),56,5000,0.000388,0.0002888101374637069,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),57,5000,0.000388,0.0002943439754625272,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),58,5000,0.000388,0.0002913932725314918,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),59,5000,0.000388,0.00028065923844617074,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),60,5000,0.000388,0.00030142675268046053,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),61,5000,0.000388,0.0002842854642718775,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),62,5000,0.000388,0.00031541585701815733,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),63,5000,0.000388,0.00028550922021042973,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),64,5000,0.000388,0.0003072320894667304,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),65,5000,0.000388,0.000298128116218214,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),66,5000,0.000388,0.00030622738164166966,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),67,5000,0.000388,0.00028643423401989153,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),68,5000,0.000388,0.0003110563491151191,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),69,5000,0.000388,0.0002839896715816437,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),70,5000,0.000388,0.00031060702593295713,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),71,5000,0.000388,0.0003020525058619015,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),72,5000,0.000388,0.0002785341491396514,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),73,5000,0.000388,0.00029709793322021743,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),74,5000,0.000388,0.000302706204595942,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),75,5000,0.000388,0.0002993094084707326,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),76,5000,0.000388,0.00027464553086659527,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),77,5000,0.000388,0.0002928592018774331,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),78,5000,0.000388,0.0002764043613278081,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),79,5000,0.000388,0.0002733369472422218,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),80,5000,0.000388,0.0003096985121504533,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),81,5000,0.000388,0.0003024347039383251,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),82,5000,0.000388,0.00029109779919440833,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),83,5000,0.000388,0.00028181670784297044,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),84,5000,0.000388,0.0002835096691714126,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),85,5000,0.000388,0.00028835778661095654,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),86,5000,0.000388,0.0002718139133476814,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),87,5000,0.000388,0.00028666274161480546,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),88,5000,0.000388,0.0002968108241459622,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),89,5000,0.000388,0.0002911664858765331,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),90,5000,0.000388,0.00029702774842202493,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),91,5000,0.000388,0.0002929263595058884,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),92,5000,0.000388,0.0003022586296322815,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),93,5000,0.000388,0.00029673124710405635,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),94,5000,0.000388,0.0002916930540195492,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),95,5000,0.000388,0.000320455730598536,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),96,5000,0.000388,0.0002902386722021159,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),97,5000,0.000388,0.0002877513312263261,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),98,5000,0.000388,0.0002843893462761347,30000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),99,5000,0.000388,0.00028540829145447705,30000,5,Success,GM,1
