Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (aCS),Flow-rate Problem (d=10),0,6000,0.000388,0.0003062217524865787,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),1,6000,0.000388,0.00026897142975746487,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),2,6000,0.000388,0.00029720120766862934,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),3,6000,0.000388,0.00028592785479723777,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),4,6000,0.000388,0.00021585193478603916,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),5,6000,0.000388,0.0002097352536944475,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),6,6000,0.000388,0.00018610263063816024,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),7,6000,0.000388,0.00031638892138709875,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),8,6000,0.000388,0.00021793631021785968,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),9,6000,0.000388,0.0002732929768220635,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),10,6000,0.000388,0.00027232599808427123,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),11,6000,0.000388,0.00024876284847041174,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),12,6000,0.000388,0.0003109820576028314,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),13,6000,0.000388,0.00030360794755582456,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),14,6000,0.000388,0.00022700050851017504,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),15,6000,0.000388,0.00022275873193535159,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),16,6000,0.000388,0.00028391248075044427,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),17,6000,0.000388,0.0002267812685733544,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),18,6000,0.000388,0.00029493026259054934,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),19,6000,0.000388,0.0001962383164109388,42000,6,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),20,6000,0.000388,0.0003025424257480883,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),21,6000,0.000388,0.0002192073423820487,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),22,6000,0.000388,0.00024890405268448366,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),23,6000,0.000388,0.0002413576223511375,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),24,6000,0.000388,0.0002477061956370866,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),25,6000,0.000388,0.0002540905760453664,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),26,6000,0.000388,0.00023079488631735562,36000,5,Success,aCS,1
SiS (aCS),Flow-rate Problem (d=10),27,6000,0.000388,0.00026783907233443355,36000,5,Success,aCS,1
