Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (GM),Flow-rate Problem (d=10),0,6000,0.000388,0.0003075445663799322,36000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),1,6000,0.000388,0.000298072362999977,36000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),2,6000,0.000388,0.00029252372341322135,36000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),3,6000,0.000388,0.00028434634277570457,36000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),4,6000,0.000388,0.00029653824580429077,36000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),5,6000,0.000388,0.0003022450427478695,36000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),6,6000,0.000388,0.00029738449911955757,36000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),7,6000,0.000388,0.00030002021866753624,36000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),8,6000,0.000388,0.0002944920743093892,36000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),9,6000,0.000388,0.00030770616970170623,36000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),10,6000,0.000388,0.00028792029085767003,36000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),11,6000,0.000388,0.00029779314083658174,36000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),12,6000,0.000388,0.00031237459710517984,36000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),13,6000,0.000388,0.00031314249031158797,36000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),14,6000,0.000388,0.0002842096489094019,36000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),15,6000,0.000388,0.00029323927953451266,36000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),16,6000,0.000388,0.0003033834746049723,36000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),17,6000,0.000388,0.00030455344503584866,36000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),18,6000,0.000388,0.0002966287201227382,36000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),19,6000,0.000388,0.0003052645724691799,36000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),20,6000,0.000388,0.00029433593376454285,36000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),21,6000,0.000388,0.0003109262715201761,36000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),22,6000,0.000388,0.0003093433469201828,36000,5,Success,GM,1
SiS (GM),Flow-rate Problem (d=10),23,6000,0.000388,0.0003208619819470709,36000,5,Success,GM,1
