Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (vMFNM),Linear Problem (d=2),0,1000,0.00023262907903552502,0.0002562785467612013,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),1,1000,0.00023262907903552502,0.00021892687149624595,6000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),2,1000,0.00023262907903552502,0.00023800251384221478,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),3,1000,0.00023262907903552502,0.00023947173993384404,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),4,1000,0.00023262907903552502,0.00022131659585511633,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),5,1000,0.00023262907903552502,0.0002448962496190316,6000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),6,1000,0.00023262907903552502,0.00023595785327346972,6000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),7,1000,0.00023262907903552502,0.0002200704669161967,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),8,1000,0.00023262907903552502,0.00019352019865064162,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),9,1000,0.00023262907903552502,0.00020001048708586993,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),10,1000,0.00023262907903552502,0.0002069457181009235,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),11,1000,0.00023262907903552502,0.00019503458775828694,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),12,1000,0.00023262907903552502,0.00021166027314822638,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),13,1000,0.00023262907903552502,0.00025234976877429424,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),14,1000,0.00023262907903552502,0.00024819239313293213,6000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),15,1000,0.00023262907903552502,0.0002811851233968004,6000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),16,1000,0.00023262907903552502,0.00019955314040101763,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),17,1000,0.00023262907903552502,0.00019727175883572527,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),18,1000,0.00023262907903552502,0.00024780925989545155,6000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),19,1000,0.00023262907903552502,0.00024243952998433515,6000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),20,1000,0.00023262907903552502,0.00023705681141074803,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),21,1000,0.00023262907903552502,0.0002293687328786365,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),22,1000,0.00023262907903552502,0.0002185169769662753,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),23,1000,0.00023262907903552502,0.00022869560547429085,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),24,1000,0.00023262907903552502,0.00021248896191590946,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),25,1000,0.00023262907903552502,0.00023052812011857077,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),26,1000,0.00023262907903552502,0.00025324694659578325,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),27,1000,0.00023262907903552502,0.0002626285527154443,6000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),28,1000,0.00023262907903552502,0.00023876426817571753,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),29,1000,0.00023262907903552502,0.0001991663397004471,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),30,1000,0.00023262907903552502,0.00022578534759898138,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),31,1000,0.00023262907903552502,0.00022036683327413722,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),32,1000,0.00023262907903552502,0.00021911880170663277,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),33,1000,0.00023262907903552502,0.0002481691170408856,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),34,1000,0.00023262907903552502,0.0001980073831024394,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),35,1000,0.00023262907903552502,0.0002648984280964608,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),36,1000,0.00023262907903552502,0.00023365919203494415,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),37,1000,0.00023262907903552502,0.00022617541555907235,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),38,1000,0.00023262907903552502,0.00023937933760032876,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),39,1000,0.00023262907903552502,0.00023207707959803681,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),40,1000,0.00023262907903552502,0.00023126612921099698,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),41,1000,0.00023262907903552502,0.00021624944394560414,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),42,1000,0.00023262907903552502,0.0002619266461241411,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),43,1000,0.00023262907903552502,0.00023949047668267846,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),44,1000,0.00023262907903552502,0.0002626012497977283,6000,5,Success,vMFNM,1
