Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (vMFNM),Linear Problem (d=2),0,3000,0.00023262907903552502,0.00023476976800043694,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),1,3000,0.00023262907903552502,0.0002378566569507506,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),2,3000,0.00023262907903552502,0.00024092393097942597,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),3,3000,0.00023262907903552502,0.00021187677338961372,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),4,3000,0.00023262907903552502,0.00022196755466441598,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),5,3000,0.00023262907903552502,0.00024393310181000893,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),6,3000,0.00023262907903552502,0.00020404653900817153,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),7,3000,0.00023262907903552502,0.0002313025953340506,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),8,3000,0.00023262907903552502,0.00024816074733604676,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),9,3000,0.00023262907903552502,0.00023744632077034997,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),10,3000,0.00023262907903552502,0.00022688596815597574,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),11,3000,0.00023262907903552502,0.00022527838706048222,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),12,3000,0.00023262907903552502,0.0002494807809064399,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),13,3000,0.00023262907903552502,0.00023673248433513962,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),14,3000,0.00023262907903552502,0.00023502356327243345,21000,6,Success,vMFNM,1
