Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (vMFNM),Linear Problem (d=2),0,5000,0.00023262907903552502,0.00022665770948258367,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),1,5000,0.00023262907903552502,0.00022184429833603354,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),2,5000,0.00023262907903552502,0.00024404242374771016,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),3,5000,0.00023262907903552502,0.00023571572826905832,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),4,5000,0.00023262907903552502,0.00023407764719504237,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),5,5000,0.00023262907903552502,0.00024211002943535498,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),6,5000,0.00023262907903552502,0.00022413947610909078,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),7,5000,0.00023262907903552502,0.00022917029459180318,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),8,5000,0.00023262907903552502,0.00021915444102617258,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),9,5000,0.00023262907903552502,0.0002346152231032724,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),10,5000,0.00023262907903552502,0.0002371349762912365,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),11,5000,0.00023262907903552502,0.00022065588761145845,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),12,5000,0.00023262907903552502,0.0002287246784764303,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),13,5000,0.00023262907903552502,0.00021065884830315378,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),14,5000,0.00023262907903552502,0.00022896308460072486,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),15,5000,0.00023262907903552502,0.0002360792279767393,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),16,5000,0.00023262907903552502,0.00022248504835561074,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),17,5000,0.00023262907903552502,0.00023224082570106144,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),18,5000,0.00023262907903552502,0.00022836052971164837,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),19,5000,0.00023262907903552502,0.00022673284312131733,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),20,5000,0.00023262907903552502,0.00023289774736175503,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),21,5000,0.00023262907903552502,0.00024532349364258236,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),22,5000,0.00023262907903552502,0.00022644084897871045,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),23,5000,0.00023262907903552502,0.00023463173732873858,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),24,5000,0.00023262907903552502,0.000231460698522753,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),25,5000,0.00023262907903552502,0.0002187596486848553,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),26,5000,0.00023262907903552502,0.00022567297161315078,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),27,5000,0.00023262907903552502,0.0002334742176958049,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),28,5000,0.00023262907903552502,0.0002335813461013745,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),29,5000,0.00023262907903552502,0.00023022955235313728,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),30,5000,0.00023262907903552502,0.00022746961684499202,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),31,5000,0.00023262907903552502,0.00022661342130553312,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),32,5000,0.00023262907903552502,0.00023069801362804842,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),33,5000,0.00023262907903552502,0.00024130835705143285,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),34,5000,0.00023262907903552502,0.00020854629222943566,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),35,5000,0.00023262907903552502,0.00022173803693474888,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),36,5000,0.00023262907903552502,0.0002499454571541795,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),37,5000,0.00023262907903552502,0.00022273789196837224,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),38,5000,0.00023262907903552502,0.00023550406001512036,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),39,5000,0.00023262907903552502,0.00023021152685747632,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),40,5000,0.00023262907903552502,0.00023227192824483808,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),41,5000,0.00023262907903552502,0.00023162220543904158,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),42,5000,0.00023262907903552502,0.0002481207032592281,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),43,5000,0.00023262907903552502,0.00024119531521503394,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),44,5000,0.00023262907903552502,0.000226552032329879,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),45,5000,0.00023262907903552502,0.00023905502687819206,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),46,5000,0.00023262907903552502,0.0002367367939084292,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),47,5000,0.00023262907903552502,0.00022589062859872545,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),48,5000,0.00023262907903552502,0.0002195395678610485,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),49,5000,0.00023262907903552502,0.0002225970874448047,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),50,5000,0.00023262907903552502,0.00024154561765881046,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),51,5000,0.00023262907903552502,0.00021226079843138888,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),52,5000,0.00023262907903552502,0.0002271511636650465,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),53,5000,0.00023262907903552502,0.00021686596297353862,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),54,5000,0.00023262907903552502,0.0002264847028891985,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),55,5000,0.00023262907903552502,0.00021655390131753796,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),56,5000,0.00023262907903552502,0.00023360295643116074,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=2),57,5000,0.00023262907903552502,0.0002369519508483276,35000,6,Success,vMFNM,1
