Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (vMFNM),Linear Problem (d=50),0,4000,0.00023262907903552502,0.0002199146537984093,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),1,4000,0.00023262907903552502,0.00020964190738832222,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),2,4000,0.00023262907903552502,0.00023048525720770796,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),3,4000,0.00023262907903552502,0.0002077359949544228,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),4,4000,0.00023262907903552502,0.00022800969043317734,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),5,4000,0.00023262907903552502,0.00024403215780697187,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),6,4000,0.00023262907903552502,0.0002192011625748315,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),7,4000,0.00023262907903552502,0.0002461631869092288,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),8,4000,0.00023262907903552502,0.00022362383371401346,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),9,4000,0.00023262907903552502,0.00022242872512224344,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),10,4000,0.00023262907903552502,0.00023209286335266802,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),11,4000,0.00023262907903552502,0.0002263574486401188,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),12,4000,0.00023262907903552502,0.00023671973962854852,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),13,4000,0.00023262907903552502,0.00023879712423725174,24000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),14,4000,0.00023262907903552502,0.00022903737789771043,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),15,4000,0.00023262907903552502,0.00022475494661920395,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),16,4000,0.00023262907903552502,0.00021969384478221087,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),17,4000,0.00023262907903552502,0.0002281527734105567,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),18,4000,0.00023262907903552502,0.00021103989814481286,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),19,4000,0.00023262907903552502,0.00023632808163396777,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),20,4000,0.00023262907903552502,0.00022766352700971253,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),21,4000,0.00023262907903552502,0.0002229670629413398,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),22,4000,0.00023262907903552502,0.00020770282884191018,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),23,4000,0.00023262907903552502,0.0002466432328736833,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),24,4000,0.00023262907903552502,0.00021565340788024214,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),25,4000,0.00023262907903552502,0.00021824404503794303,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),26,4000,0.00023262907903552502,0.0002427810610980277,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),27,4000,0.00023262907903552502,0.00021503697130533284,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),28,4000,0.00023262907903552502,0.00023782694535040674,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),29,4000,0.00023262907903552502,0.00023016850734026582,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),30,4000,0.00023262907903552502,0.000238848129558512,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),31,4000,0.00023262907903552502,0.0002268633721149044,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),32,4000,0.00023262907903552502,0.00021693983946224904,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),33,4000,0.00023262907903552502,0.00021770747425639916,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),34,4000,0.00023262907903552502,0.0002422354347885134,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),35,4000,0.00023262907903552502,0.000241389576034602,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),36,4000,0.00023262907903552502,0.0002206099072993459,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),37,4000,0.00023262907903552502,0.0002134449916168346,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),38,4000,0.00023262907903552502,0.0002218729895473212,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),39,4000,0.00023262907903552502,0.00024480659972943053,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),40,4000,0.00023262907903552502,0.0002373197992878883,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),41,4000,0.00023262907903552502,0.0002109394057240534,28000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),42,4000,0.00023262907903552502,0.000234440300494672,28000,6,Success,vMFNM,1
