Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (vMFNM),Linear Problem (d=50),0,5000,0.00023262907903552502,0.0002295219592109641,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),1,5000,0.00023262907903552502,0.00021930188218343823,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),2,5000,0.00023262907903552502,0.00022151817523390855,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),3,5000,0.00023262907903552502,0.0002238302272019305,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),4,5000,0.00023262907903552502,0.00022658087677067097,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),5,5000,0.00023262907903552502,0.0002077938786128156,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),6,5000,0.00023262907903552502,0.0002367158365749397,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),7,5000,0.00023262907903552502,0.0002295630582698801,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),8,5000,0.00023262907903552502,0.00023494463882737555,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),9,5000,0.00023262907903552502,0.0002248141640335584,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),10,5000,0.00023262907903552502,0.00023929712450650412,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),11,5000,0.00023262907903552502,0.00023611813043086818,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),12,5000,0.00023262907903552502,0.0002265550291299367,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),13,5000,0.00023262907903552502,0.00021448911832262112,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),14,5000,0.00023262907903552502,0.00022528318691455683,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),15,5000,0.00023262907903552502,0.00023228200332332542,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),16,5000,0.00023262907903552502,0.00023566602061456606,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),17,5000,0.00023262907903552502,0.00023405831537712376,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),18,5000,0.00023262907903552502,0.00022512450073105378,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),19,5000,0.00023262907903552502,0.00022995110470330678,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),20,5000,0.00023262907903552502,0.00023019509321500103,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),21,5000,0.00023262907903552502,0.00021868949157358706,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),22,5000,0.00023262907903552502,0.00022923008476207008,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),23,5000,0.00023262907903552502,0.0002663231318179386,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),24,5000,0.00023262907903552502,0.0002443196987867422,35000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),25,5000,0.00023262907903552502,0.0002361409233080748,35000,6,Success,vMFNM,1
