Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (vMFNM),Linear Problem (d=50),0,1000,0.00023262907903552502,0.0001902424031376929,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),1,1000,0.00023262907903552502,0.00026337071629051873,6000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),2,1000,0.00023262907903552502,0.00023150639047081825,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),3,1000,0.00023262907903552502,0.00021987379162716124,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),4,1000,0.00023262907903552502,0.00020011333883493534,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),5,1000,0.00023262907903552502,0.00022107497387466746,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),6,1000,0.00023262907903552502,0.0002337865827112714,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),7,1000,0.00023262907903552502,0.0002450559491889425,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),8,1000,0.00023262907903552502,0.00023053451277947783,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),9,1000,0.00023262907903552502,0.00020227945579997912,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),10,1000,0.00023262907903552502,0.0001902614638795257,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),11,1000,0.00023262907903552502,0.00023430893613531919,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),12,1000,0.00023262907903552502,0.00019259100110231788,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),13,1000,0.00023262907903552502,0.0002634719452384274,6000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),14,1000,0.00023262907903552502,0.00020415782810138253,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),15,1000,0.00023262907903552502,0.00019658774887495163,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),16,1000,0.00023262907903552502,0.00021915413415051787,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),17,1000,0.00023262907903552502,0.00018635651576061856,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),18,1000,0.00023262907903552502,0.00025469242282844315,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),19,1000,0.00023262907903552502,0.00024135851839503607,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),20,1000,0.00023262907903552502,0.0002307832247925681,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),21,1000,0.00023262907903552502,0.00025820686804891994,6000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),22,1000,0.00023262907903552502,0.00018907861261600105,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),23,1000,0.00023262907903552502,0.00021227587714562607,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),24,1000,0.00023262907903552502,0.00020515630818230686,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),25,1000,0.00023262907903552502,0.00023315755464612553,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),26,1000,0.00023262907903552502,0.00022654962070739012,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),27,1000,0.00023262907903552502,0.0002317862334644507,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),28,1000,0.00023262907903552502,0.00021822163695577471,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),29,1000,0.00023262907903552502,0.00025694062261987427,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),30,1000,0.00023262907903552502,0.0002383452740888158,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),31,1000,0.00023262907903552502,0.00019337059001001385,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),32,1000,0.00023262907903552502,0.00019109772444777352,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),33,1000,0.00023262907903552502,0.0001908396268695973,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),34,1000,0.00023262907903552502,0.00021158387077236583,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),35,1000,0.00023262907903552502,0.00021104906653444532,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),36,1000,0.00023262907903552502,0.00019848573477113487,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),37,1000,0.00023262907903552502,0.0001854552787258179,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),38,1000,0.00023262907903552502,0.00021832777880088095,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),39,1000,0.00023262907903552502,0.0002391802119194243,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),40,1000,0.00023262907903552502,0.00024835021704292795,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),41,1000,0.00023262907903552502,0.00020385146958325047,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),42,1000,0.00023262907903552502,0.00021905609391763118,6000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),43,1000,0.00023262907903552502,0.0002754781411624506,6000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),44,1000,0.00023262907903552502,0.00019137734481360744,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),45,1000,0.00023262907903552502,0.0002652649305025434,6000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),46,1000,0.00023262907903552502,0.00025134720860189175,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),47,1000,0.00023262907903552502,0.0002461335625594792,6000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),48,1000,0.00023262907903552502,0.00020337868820120215,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),49,1000,0.00023262907903552502,0.00026374530565812226,6000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),50,1000,0.00023262907903552502,0.00019470653507133804,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),51,1000,0.00023262907903552502,0.00019440438004284197,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),52,1000,0.00023262907903552502,0.0002681698710440459,6000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),53,1000,0.00023262907903552502,0.00030844056572444846,6000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),54,1000,0.00023262907903552502,0.00020528841136192714,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),55,1000,0.00023262907903552502,0.0002499262757033597,6000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),56,1000,0.00023262907903552502,0.0002038910365438871,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),57,1000,0.00023262907903552502,0.00023480130467860985,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),58,1000,0.00023262907903552502,0.0002496062323643524,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),59,1000,0.00023262907903552502,0.00017747967431705738,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),60,1000,0.00023262907903552502,0.00021776010477114936,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),61,1000,0.00023262907903552502,0.00024159438430066302,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),62,1000,0.00023262907903552502,0.0002678157133921972,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),63,1000,0.00023262907903552502,0.00022608255968087926,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),64,1000,0.00023262907903552502,0.00023862582843007894,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),65,1000,0.00023262907903552502,0.00022554625248613627,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),66,1000,0.00023262907903552502,0.00025733871953001654,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),67,1000,0.00023262907903552502,0.00017113840170832092,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),68,1000,0.00023262907903552502,0.0001946559642763433,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),69,1000,0.00023262907903552502,0.00020436306773875945,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),70,1000,0.00023262907903552502,0.0002218296782216052,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),71,1000,0.00023262907903552502,0.00021612167047233878,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),72,1000,0.00023262907903552502,0.00018896424810778306,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),73,1000,0.00023262907903552502,0.00019777699375618033,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),74,1000,0.00023262907903552502,0.00024025981164673335,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),75,1000,0.00023262907903552502,0.00023305719883298938,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),76,1000,0.00023262907903552502,0.0002256679868694145,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),77,1000,0.00023262907903552502,0.0002301218472697341,7000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),78,1000,0.00023262907903552502,0.0002777348250562492,6000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),79,1000,0.00023262907903552502,0.00022985491317514838,7000,6,Success,vMFNM,1
