Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (vMFNM),Linear Problem (d=50),0,2000,0.00023262907903552502,0.0002379245215390566,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),1,2000,0.00023262907903552502,0.00024565707845633077,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),2,2000,0.00023262907903552502,0.00020928170512859073,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),3,2000,0.00023262907903552502,0.0002536235198163627,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),4,2000,0.00023262907903552502,0.0002163060974337149,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),5,2000,0.00023262907903552502,0.0002262798259587026,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),6,2000,0.00023262907903552502,0.0002233260658484635,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),7,2000,0.00023262907903552502,0.00028139989638949377,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),8,2000,0.00023262907903552502,0.00023819945233918838,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),9,2000,0.00023262907903552502,0.0002333392136717056,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),10,2000,0.00023262907903552502,0.00022702146548865437,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),11,2000,0.00023262907903552502,0.00023235961337457093,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),12,2000,0.00023262907903552502,0.00019071806663790067,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),13,2000,0.00023262907903552502,0.0002357737166374838,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),14,2000,0.00023262907903552502,0.00023059763887130425,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),15,2000,0.00023262907903552502,0.000228018332599231,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),16,2000,0.00023262907903552502,0.00021584256516511273,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),17,2000,0.00023262907903552502,0.00023679834504935942,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),18,2000,0.00023262907903552502,0.00023629288316638733,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),19,2000,0.00023262907903552502,0.00023429083133685448,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),20,2000,0.00023262907903552502,0.00020924680221258755,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),21,2000,0.00023262907903552502,0.0002140847162117712,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),22,2000,0.00023262907903552502,0.00023980825244391383,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),23,2000,0.00023262907903552502,0.00021265749697320905,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),24,2000,0.00023262907903552502,0.0002292937979581891,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),25,2000,0.00023262907903552502,0.00022806583763126844,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),26,2000,0.00023262907903552502,0.00021030728073184366,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),27,2000,0.00023262907903552502,0.0002696803374008124,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),28,2000,0.00023262907903552502,0.00023088135451400962,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),29,2000,0.00023262907903552502,0.0002526574327354974,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),30,2000,0.00023262907903552502,0.00022334255222460433,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),31,2000,0.00023262907903552502,0.00021086872901943508,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),32,2000,0.00023262907903552502,0.00025014716856770655,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),33,2000,0.00023262907903552502,0.00021817128166928994,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),34,2000,0.00023262907903552502,0.00022748497306696958,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),35,2000,0.00023262907903552502,0.00021864087602588273,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),36,2000,0.00023262907903552502,0.0002143863983659119,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),37,2000,0.00023262907903552502,0.0001996824338058458,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),38,2000,0.00023262907903552502,0.00020892859622641472,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),39,2000,0.00023262907903552502,0.00021668235747304056,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),40,2000,0.00023262907903552502,0.00021956010730600367,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),41,2000,0.00023262907903552502,0.00023180840011308347,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),42,2000,0.00023262907903552502,0.0002634840125716465,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),43,2000,0.00023262907903552502,0.0002643408207143957,12000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),44,2000,0.00023262907903552502,0.00023055236728919135,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),45,2000,0.00023262907903552502,0.0002460732464570225,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),46,2000,0.00023262907903552502,0.0002179548487667814,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),47,2000,0.00023262907903552502,0.0002472617821762008,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),48,2000,0.00023262907903552502,0.00023037359891721573,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),49,2000,0.00023262907903552502,0.0002649058878250628,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),50,2000,0.00023262907903552502,0.0002456919685397597,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),51,2000,0.00023262907903552502,0.0002465783811480137,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),52,2000,0.00023262907903552502,0.00022319358751120007,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),53,2000,0.00023262907903552502,0.00021887060865690677,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),54,2000,0.00023262907903552502,0.00021499941645243315,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),55,2000,0.00023262907903552502,0.00022878075085922014,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),56,2000,0.00023262907903552502,0.00023263187605775405,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),57,2000,0.00023262907903552502,0.0002046946673683125,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),58,2000,0.00023262907903552502,0.00021782638525266236,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),59,2000,0.00023262907903552502,0.0002442440141086947,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),60,2000,0.00023262907903552502,0.00019963818165025,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),61,2000,0.00023262907903552502,0.000258230837448195,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),62,2000,0.00023262907903552502,0.0002182207827899234,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),63,2000,0.00023262907903552502,0.0002519592387880263,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),64,2000,0.00023262907903552502,0.00022154333465636408,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),65,2000,0.00023262907903552502,0.00023986921264136668,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),66,2000,0.00023262907903552502,0.00021140779696804358,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),67,2000,0.00023262907903552502,0.00021389833294381932,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),68,2000,0.00023262907903552502,0.00023909786398482045,12000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),69,2000,0.00023262907903552502,0.00023708882330573708,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),70,2000,0.00023262907903552502,0.000238516331476096,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),71,2000,0.00023262907903552502,0.00022981994403564415,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),72,2000,0.00023262907903552502,0.0002077660228475964,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),73,2000,0.00023262907903552502,0.00021257159297569052,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),74,2000,0.00023262907903552502,0.00022086833498199103,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),75,2000,0.00023262907903552502,0.00027615354201382093,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),76,2000,0.00023262907903552502,0.00021246696333649412,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),77,2000,0.00023262907903552502,0.0002239636602074433,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),78,2000,0.00023262907903552502,0.0002196686224880405,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),79,2000,0.00023262907903552502,0.00022728219862702955,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),80,2000,0.00023262907903552502,0.00018996357277345255,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),81,2000,0.00023262907903552502,0.00023528083879291881,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),82,2000,0.00023262907903552502,0.00023907679167588851,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),83,2000,0.00023262907903552502,0.0002335948510696647,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),84,2000,0.00023262907903552502,0.00023893236288546101,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),85,2000,0.00023262907903552502,0.00021649042923309783,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),86,2000,0.00023262907903552502,0.00025063941092203575,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),87,2000,0.00023262907903552502,0.00023147536460084884,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),88,2000,0.00023262907903552502,0.0002352509499651694,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),89,2000,0.00023262907903552502,0.00022001553377355915,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),90,2000,0.00023262907903552502,0.0002087429319239254,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),91,2000,0.00023262907903552502,0.00019586560134989394,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),92,2000,0.00023262907903552502,0.00021096125554330292,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),93,2000,0.00023262907903552502,0.00021739666653786406,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),94,2000,0.00023262907903552502,0.00027047953087063094,14000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),95,2000,0.00023262907903552502,0.0002578102563339798,14000,6,Success,vMFNM,1
