Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (vMFNM),Linear Problem (d=50),0,3000,0.00023262907903552502,0.0002447851515763981,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),1,3000,0.00023262907903552502,0.00020796094252576437,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),2,3000,0.00023262907903552502,0.00023901430420986095,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),3,3000,0.00023262907903552502,0.00022751869437921291,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),4,3000,0.00023262907903552502,0.0002398476115319372,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),5,3000,0.00023262907903552502,0.00021602293236685382,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),6,3000,0.00023262907903552502,0.00023772411371830707,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),7,3000,0.00023262907903552502,0.00022268685826491084,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),8,3000,0.00023262907903552502,0.00025445186078310635,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),9,3000,0.00023262907903552502,0.0002160311267613431,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),10,3000,0.00023262907903552502,0.0002512194270597479,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),11,3000,0.00023262907903552502,0.0002106072549760657,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),12,3000,0.00023262907903552502,0.00023715539797354698,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),13,3000,0.00023262907903552502,0.0002439631342011122,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),14,3000,0.00023262907903552502,0.00023729184508349826,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),15,3000,0.00023262907903552502,0.00022705711174853162,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),16,3000,0.00023262907903552502,0.0002367314658325184,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),17,3000,0.00023262907903552502,0.00027083379154111434,18000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),18,3000,0.00023262907903552502,0.0002419494478747697,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),19,3000,0.00023262907903552502,0.00021764507851004187,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),20,3000,0.00023262907903552502,0.0002498060737849673,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),21,3000,0.00023262907903552502,0.0002199358204376662,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),22,3000,0.00023262907903552502,0.0002230977047559362,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),23,3000,0.00023262907903552502,0.0002310074963543274,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),24,3000,0.00023262907903552502,0.00021316175738086344,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),25,3000,0.00023262907903552502,0.0002311957722115848,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),26,3000,0.00023262907903552502,0.00020488547199686255,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),27,3000,0.00023262907903552502,0.0002395604533632145,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),28,3000,0.00023262907903552502,0.00023315293308571227,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),29,3000,0.00023262907903552502,0.00021235076293699273,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),30,3000,0.00023262907903552502,0.00020684983042118404,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),31,3000,0.00023262907903552502,0.00025537776075069935,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),32,3000,0.00023262907903552502,0.00023139949171950712,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),33,3000,0.00023262907903552502,0.00024781509190475266,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),34,3000,0.00023262907903552502,0.00020610029733842498,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),35,3000,0.00023262907903552502,0.00023014415352552657,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),36,3000,0.00023262907903552502,0.00023016951342932503,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),37,3000,0.00023262907903552502,0.0002360426340966494,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),38,3000,0.00023262907903552502,0.00023829827098950537,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),39,3000,0.00023262907903552502,0.00021143267415135,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),40,3000,0.00023262907903552502,0.00025672831976199245,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),41,3000,0.00023262907903552502,0.00022050227138579152,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),42,3000,0.00023262907903552502,0.00020449110942433573,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),43,3000,0.00023262907903552502,0.0002265981064005359,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),44,3000,0.00023262907903552502,0.00022952239384802338,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),45,3000,0.00023262907903552502,0.0002211668750008894,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),46,3000,0.00023262907903552502,0.00023143479500427352,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),47,3000,0.00023262907903552502,0.0002450947433374238,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),48,3000,0.00023262907903552502,0.0002283357924951407,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),49,3000,0.00023262907903552502,0.00020130305684229515,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),50,3000,0.00023262907903552502,0.00023345256369310268,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),51,3000,0.00023262907903552502,0.0002465544225881844,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),52,3000,0.00023262907903552502,0.00021156831115422321,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),53,3000,0.00023262907903552502,0.00024092785478281294,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),54,3000,0.00023262907903552502,0.00023265562334231075,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),55,3000,0.00023262907903552502,0.00021306302093320134,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),56,3000,0.00023262907903552502,0.0002255726207068607,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),57,3000,0.00023262907903552502,0.0002294846565053759,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),58,3000,0.00023262907903552502,0.0002186953952734125,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),59,3000,0.00023262907903552502,0.00021993040346575445,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),60,3000,0.00023262907903552502,0.00022837806390514623,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),61,3000,0.00023262907903552502,0.00022187367703964132,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),62,3000,0.00023262907903552502,0.00023053513121136686,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),63,3000,0.00023262907903552502,0.00023230642005073876,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),64,3000,0.00023262907903552502,0.0002267735537741045,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),65,3000,0.00023262907903552502,0.00021851608042359243,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),66,3000,0.00023262907903552502,0.0002240990562909637,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),67,3000,0.00023262907903552502,0.00022687294831626488,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),68,3000,0.00023262907903552502,0.0002330963582013486,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),69,3000,0.00023262907903552502,0.0002548535580676617,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),70,3000,0.00023262907903552502,0.0002279194484729095,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),71,3000,0.00023262907903552502,0.0002317408858878689,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),72,3000,0.00023262907903552502,0.00022222750332553975,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),73,3000,0.00023262907903552502,0.00022299527589226458,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),74,3000,0.00023262907903552502,0.00023077759161242123,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),75,3000,0.00023262907903552502,0.0002284890153521666,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),76,3000,0.00023262907903552502,0.00024220424267985355,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),77,3000,0.00023262907903552502,0.00022224514823679554,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),78,3000,0.00023262907903552502,0.0002133565183619079,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),79,3000,0.00023262907903552502,0.00021434708416469595,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),80,3000,0.00023262907903552502,0.00023896334520718366,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),81,3000,0.00023262907903552502,0.00023436033839704403,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),82,3000,0.00023262907903552502,0.00022552501510685248,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),83,3000,0.00023262907903552502,0.0002299375177063179,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),84,3000,0.00023262907903552502,0.0002107163416730727,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),85,3000,0.00023262907903552502,0.0002493652685495546,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),86,3000,0.00023262907903552502,0.00021786600493348913,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),87,3000,0.00023262907903552502,0.00023197717575189057,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),88,3000,0.00023262907903552502,0.0002397793468619255,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),89,3000,0.00023262907903552502,0.00022838578248516496,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),90,3000,0.00023262907903552502,0.00022929450016177927,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),91,3000,0.00023262907903552502,0.0002368712185547399,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),92,3000,0.00023262907903552502,0.00021675152407501358,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),93,3000,0.00023262907903552502,0.00019768290970231274,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),94,3000,0.00023262907903552502,0.00024451877958079645,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),95,3000,0.00023262907903552502,0.0002240331144021334,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),96,3000,0.00023262907903552502,0.0002090667285605905,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),97,3000,0.00023262907903552502,0.0002322356942655425,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),98,3000,0.00023262907903552502,0.00024421464317514214,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),99,3000,0.00023262907903552502,0.00021088932142065584,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),100,3000,0.00023262907903552502,0.0002278730620209729,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),101,3000,0.00023262907903552502,0.00020794106840123341,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),102,3000,0.00023262907903552502,0.0002534197194536784,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),103,3000,0.00023262907903552502,0.0002450732725405326,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),104,3000,0.00023262907903552502,0.00023134278929971244,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),105,3000,0.00023262907903552502,0.0002133817139108856,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),106,3000,0.00023262907903552502,0.00022583160841246604,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),107,3000,0.00023262907903552502,0.0002581764568309668,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),108,3000,0.00023262907903552502,0.00024960599577858786,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),109,3000,0.00023262907903552502,0.00026690982552487775,18000,5,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),110,3000,0.00023262907903552502,0.00023255394093920248,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),111,3000,0.00023262907903552502,0.00022395004701878095,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),112,3000,0.00023262907903552502,0.00020598629242727095,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),113,3000,0.00023262907903552502,0.00021611770977883176,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),114,3000,0.00023262907903552502,0.00024534455351779094,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),115,3000,0.00023262907903552502,0.0002411263832853098,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),116,3000,0.00023262907903552502,0.00022774022779640667,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),117,3000,0.00023262907903552502,0.00025127910850410444,21000,6,Success,vMFNM,1
SiS (vMFNM),Linear Problem (d=50),118,3000,0.00023262907903552502,0.0002248384748588281,21000,6,Success,vMFNM,1
