Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (GM),Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.53068084528627e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,6.926336033866812e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,2,1000,6.429999999999999e-06,5.591431334948327e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,3,1000,6.429999999999999e-06,6.5065463879669806e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,4,1000,6.429999999999999e-06,4.879196343918549e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,5,1000,6.429999999999999e-06,5.93006517304637e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,6,1000,6.429999999999999e-06,6.1785040042399525e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,7,1000,6.429999999999999e-06,6.47589407685411e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,8,1000,6.429999999999999e-06,6.692429151422075e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,9,1000,6.429999999999999e-06,6.7296816788766325e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,10,1000,6.429999999999999e-06,5.800948805548689e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,11,1000,6.429999999999999e-06,7.953344568856827e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,12,1000,6.429999999999999e-06,4.7895557344453034e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,13,1000,6.429999999999999e-06,4.780792546899377e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,14,1000,6.429999999999999e-06,5.579386515514413e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,15,1000,6.429999999999999e-06,5.032673122812675e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,16,1000,6.429999999999999e-06,6.06349330056404e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,17,1000,6.429999999999999e-06,5.543030054971131e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,18,1000,6.429999999999999e-06,7.469291076150352e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,19,1000,6.429999999999999e-06,4.97935789304205e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,20,1000,6.429999999999999e-06,5.476761314361733e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,21,1000,6.429999999999999e-06,5.923188520649396e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,22,1000,6.429999999999999e-06,6.334889908077696e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,23,1000,6.429999999999999e-06,7.0904191974345796e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,24,1000,6.429999999999999e-06,6.106013654905403e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,25,1000,6.429999999999999e-06,6.394737081192698e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,26,1000,6.429999999999999e-06,6.424349674022203e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,27,1000,6.429999999999999e-06,6.292001566778249e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,28,1000,6.429999999999999e-06,7.261686038067531e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,29,1000,6.429999999999999e-06,5.811647230506163e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,30,1000,6.429999999999999e-06,6.680945903723665e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,31,1000,6.429999999999999e-06,5.3600864957877825e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,32,1000,6.429999999999999e-06,5.883330566675629e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,33,1000,6.429999999999999e-06,6.134222611140405e-06,8000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,34,1000,6.429999999999999e-06,6.587726782111377e-06,8000,7,Success,GM,1
