Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (aCS),Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,1.0760380374764364e-05,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,1.8332614796805484e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,2,1000,6.429999999999999e-06,9.002666143380751e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,3,1000,6.429999999999999e-06,6.510703785095055e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,4,1000,6.429999999999999e-06,1.0418327042079633e-05,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,5,1000,6.429999999999999e-06,5.76325897497358e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,6,1000,6.429999999999999e-06,4.906333324369767e-06,9000,8,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,7,1000,6.429999999999999e-06,2.983216112624721e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,8,1000,6.429999999999999e-06,8.57574681997252e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,9,1000,6.429999999999999e-06,6.045694622796601e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,10,1000,6.429999999999999e-06,5.252388422840245e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,11,1000,6.429999999999999e-06,9.677978945342813e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,12,1000,6.429999999999999e-06,3.2361458294916865e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,13,1000,6.429999999999999e-06,8.258356090025908e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,14,1000,6.429999999999999e-06,7.400262151710192e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,15,1000,6.429999999999999e-06,1.605938044335419e-05,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,16,1000,6.429999999999999e-06,8.492262582406276e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,17,1000,6.429999999999999e-06,3.3368057124166745e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,18,1000,6.429999999999999e-06,4.057362931787312e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,19,1000,6.429999999999999e-06,8.103880814245095e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,20,1000,6.429999999999999e-06,4.180527377072817e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,21,1000,6.429999999999999e-06,7.30643892678474e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,22,1000,6.429999999999999e-06,7.94097807537769e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,23,1000,6.429999999999999e-06,4.787420114574156e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,24,1000,6.429999999999999e-06,4.435014046783673e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,25,1000,6.429999999999999e-06,1.2521179713872221e-05,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,26,1000,6.429999999999999e-06,5.21695280353016e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,27,1000,6.429999999999999e-06,2.042635525888424e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,28,1000,6.429999999999999e-06,5.886989160915124e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,29,1000,6.429999999999999e-06,8.404461299531395e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,30,1000,6.429999999999999e-06,3.194917557443859e-06,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,31,1000,6.429999999999999e-06,1.5716887843154956e-05,8000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,32,1000,6.429999999999999e-06,5.9713515298068835e-06,8000,7,Success,aCS,1
