Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (aCS),Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,3.2400128305747128e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,4.213262559604745e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,8.547686062487634e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,3,2000,6.429999999999999e-06,3.330155158754585e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,4,2000,6.429999999999999e-06,7.540166061254407e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,5,2000,6.429999999999999e-06,4.348447568150834e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,6,2000,6.429999999999999e-06,4.810096479025111e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,7,2000,6.429999999999999e-06,3.7922648691396567e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,8,2000,6.429999999999999e-06,6.703437963048069e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,9,2000,6.429999999999999e-06,4.127853026499747e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,10,2000,6.429999999999999e-06,7.765431920496464e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,11,2000,6.429999999999999e-06,8.099337834016292e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,12,2000,6.429999999999999e-06,4.121544232392661e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,13,2000,6.429999999999999e-06,9.768888367028783e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,14,2000,6.429999999999999e-06,5.5694452747182205e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,15,2000,6.429999999999999e-06,5.451606758762833e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,16,2000,6.429999999999999e-06,8.28232872164501e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,17,2000,6.429999999999999e-06,3.2289236718494937e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,18,2000,6.429999999999999e-06,5.544417536715075e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,19,2000,6.429999999999999e-06,7.2790797775491816e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,20,2000,6.429999999999999e-06,4.841118934510838e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,21,2000,6.429999999999999e-06,6.334250718524835e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,22,2000,6.429999999999999e-06,7.310698448251857e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,23,2000,6.429999999999999e-06,1.9467916676459737e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,24,2000,6.429999999999999e-06,8.403732340875179e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,25,2000,6.429999999999999e-06,8.02294644268606e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,26,2000,6.429999999999999e-06,4.529598522386668e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,27,2000,6.429999999999999e-06,8.042135535796548e-06,16000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,28,2000,6.429999999999999e-06,5.012534991064245e-06,16000,7,Success,aCS,1
