Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (GM),Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.425055688600453e-06,24000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.59026430188462e-06,24000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,2,3000,6.429999999999999e-06,6.749212011000074e-06,24000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,3,3000,6.429999999999999e-06,6.997186633341995e-06,24000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,4,3000,6.429999999999999e-06,6.852216475334458e-06,24000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,5,3000,6.429999999999999e-06,6.288841956873634e-06,24000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,6,3000,6.429999999999999e-06,6.342897036106293e-06,24000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,7,3000,6.429999999999999e-06,6.056915075294887e-06,24000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,8,3000,6.429999999999999e-06,6.68728586014562e-06,24000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,9,3000,6.429999999999999e-06,5.902189514190225e-06,24000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,10,3000,6.429999999999999e-06,6.126721897645373e-06,24000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,11,3000,6.429999999999999e-06,6.892658478998143e-06,24000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,12,3000,6.429999999999999e-06,6.627284634779936e-06,24000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,13,3000,6.429999999999999e-06,6.1706382367522365e-06,24000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,14,3000,6.429999999999999e-06,5.7919767981069876e-06,24000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,15,3000,6.429999999999999e-06,6.003670587693853e-06,24000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,16,3000,6.429999999999999e-06,6.461116102714532e-06,24000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,17,3000,6.429999999999999e-06,6.3228849738724385e-06,24000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,18,3000,6.429999999999999e-06,6.384154860182713e-06,24000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,19,3000,6.429999999999999e-06,6.552066709095014e-06,24000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,20,3000,6.429999999999999e-06,6.484924807688352e-06,24000,7,Success,GM,1
