Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (aCS),Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,9.36756435513751e-06,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,4.149348038552845e-06,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,2,3000,6.429999999999999e-06,3.0190886015939065e-06,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,3,3000,6.429999999999999e-06,7.2994321190625814e-06,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,4,3000,6.429999999999999e-06,6.689531445148714e-06,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,5,3000,6.429999999999999e-06,7.684110406226392e-06,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,6,3000,6.429999999999999e-06,3.775797478248722e-06,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,7,3000,6.429999999999999e-06,7.667675454726618e-06,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,8,3000,6.429999999999999e-06,6.024245090372454e-06,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,9,3000,6.429999999999999e-06,3.867732226294657e-06,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,10,3000,6.429999999999999e-06,6.646415410848084e-06,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,11,3000,6.429999999999999e-06,8.559975327563264e-06,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,12,3000,6.429999999999999e-06,8.957388484576364e-06,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,13,3000,6.429999999999999e-06,9.690188671691387e-06,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,14,3000,6.429999999999999e-06,1.1171983088163874e-05,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,15,3000,6.429999999999999e-06,1.2844432116194124e-05,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,16,3000,6.429999999999999e-06,1.3534959893368742e-05,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,17,3000,6.429999999999999e-06,4.130854177351841e-06,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,18,3000,6.429999999999999e-06,5.924848443751497e-06,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,19,3000,6.429999999999999e-06,8.479454940910657e-06,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,20,3000,6.429999999999999e-06,4.3577808186392444e-06,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,21,3000,6.429999999999999e-06,8.924097963083134e-06,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,22,3000,6.429999999999999e-06,4.390426349204093e-06,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,23,3000,6.429999999999999e-06,5.6638304078282345e-06,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,24,3000,6.429999999999999e-06,7.579772982282001e-06,24000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,25,3000,6.429999999999999e-06,6.948548247391093e-06,24000,7,Success,aCS,1
