Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (aCS),Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.273315701726302e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,1,4000,6.429999999999999e-06,4.0166917313227185e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,2,4000,6.429999999999999e-06,6.777697897775893e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,3,4000,6.429999999999999e-06,3.795145846752853e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,4,4000,6.429999999999999e-06,4.555551251667295e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,5,4000,6.429999999999999e-06,9.128576243496148e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,6,4000,6.429999999999999e-06,4.566381850844351e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,7,4000,6.429999999999999e-06,5.643620948202987e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,8,4000,6.429999999999999e-06,5.948347105949304e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,9,4000,6.429999999999999e-06,5.2372191994817935e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,10,4000,6.429999999999999e-06,5.500783338571389e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,11,4000,6.429999999999999e-06,5.206343938405632e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,12,4000,6.429999999999999e-06,4.400782695301486e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,13,4000,6.429999999999999e-06,9.273018234604908e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,14,4000,6.429999999999999e-06,8.480122070028536e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,15,4000,6.429999999999999e-06,9.962767992531905e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,16,4000,6.429999999999999e-06,1.1441509160787909e-05,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,17,4000,6.429999999999999e-06,4.265555432177397e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,18,4000,6.429999999999999e-06,4.207159091831414e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,19,4000,6.429999999999999e-06,7.108736557630261e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,20,4000,6.429999999999999e-06,7.94041147740933e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,21,4000,6.429999999999999e-06,6.205639212423972e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,22,4000,6.429999999999999e-06,4.6525641539804525e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,23,4000,6.429999999999999e-06,5.423345966192683e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,24,4000,6.429999999999999e-06,4.5511708978637326e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,25,4000,6.429999999999999e-06,7.182951663396953e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,26,4000,6.429999999999999e-06,4.454998605556712e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,27,4000,6.429999999999999e-06,3.903254167957284e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,28,4000,6.429999999999999e-06,5.111680492624942e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,29,4000,6.429999999999999e-06,6.887866208043682e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,30,4000,6.429999999999999e-06,3.49327300030484e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,31,4000,6.429999999999999e-06,7.044089055584025e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,32,4000,6.429999999999999e-06,3.4358879253915386e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,33,4000,6.429999999999999e-06,5.950807133248862e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,34,4000,6.429999999999999e-06,7.061253170453647e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,35,4000,6.429999999999999e-06,6.757352051604435e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,36,4000,6.429999999999999e-06,8.444144678307314e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,37,4000,6.429999999999999e-06,8.29873241788372e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,38,4000,6.429999999999999e-06,6.208746950646613e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,39,4000,6.429999999999999e-06,1.0418580170543617e-05,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,40,4000,6.429999999999999e-06,5.956732797811315e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,41,4000,6.429999999999999e-06,6.388022047342952e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,42,4000,6.429999999999999e-06,5.683353399148689e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,43,4000,6.429999999999999e-06,6.523098469739355e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,44,4000,6.429999999999999e-06,3.5758363603908823e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,45,4000,6.429999999999999e-06,7.57888794263779e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,46,4000,6.429999999999999e-06,5.27208178200094e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,47,4000,6.429999999999999e-06,4.6911270032786515e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,48,4000,6.429999999999999e-06,5.405442143618722e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,49,4000,6.429999999999999e-06,7.439521032309878e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,50,4000,6.429999999999999e-06,4.4820058247986585e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,51,4000,6.429999999999999e-06,5.759502356182287e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,52,4000,6.429999999999999e-06,7.599410955649644e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,53,4000,6.429999999999999e-06,3.94232912057316e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,54,4000,6.429999999999999e-06,9.82088321268899e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,55,4000,6.429999999999999e-06,6.1296712772492156e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,56,4000,6.429999999999999e-06,4.262614782914031e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,57,4000,6.429999999999999e-06,6.604326391306281e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,58,4000,6.429999999999999e-06,5.674160177937553e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,59,4000,6.429999999999999e-06,4.089320866427046e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,60,4000,6.429999999999999e-06,5.143574423608152e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,61,4000,6.429999999999999e-06,5.520225658783448e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,62,4000,6.429999999999999e-06,5.851815243948417e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,63,4000,6.429999999999999e-06,5.045139419332226e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,64,4000,6.429999999999999e-06,6.613811567455845e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,65,4000,6.429999999999999e-06,4.997231297980249e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,66,4000,6.429999999999999e-06,5.85441616527509e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,67,4000,6.429999999999999e-06,7.339290679875306e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,68,4000,6.429999999999999e-06,6.107415664698163e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,69,4000,6.429999999999999e-06,6.575364573514927e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,70,4000,6.429999999999999e-06,7.193948121338764e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,71,4000,6.429999999999999e-06,3.3468650124083633e-06,32000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,72,4000,6.429999999999999e-06,7.238883703726158e-06,32000,7,Success,aCS,1
