Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (GM),Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.417412609096773e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,1,4000,6.429999999999999e-06,6.8341239369818416e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,2,4000,6.429999999999999e-06,6.1627954825690715e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,3,4000,6.429999999999999e-06,6.018201956816058e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,4,4000,6.429999999999999e-06,6.839872151135826e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,5,4000,6.429999999999999e-06,6.727613562417159e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,6,4000,6.429999999999999e-06,6.021118506316771e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,7,4000,6.429999999999999e-06,6.522793698896292e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,8,4000,6.429999999999999e-06,6.615974860648059e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,9,4000,6.429999999999999e-06,6.416051879955017e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,10,4000,6.429999999999999e-06,6.020008828599502e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,11,4000,6.429999999999999e-06,6.785182028804691e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,12,4000,6.429999999999999e-06,5.9296347833357524e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,13,4000,6.429999999999999e-06,6.725640873339266e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,14,4000,6.429999999999999e-06,6.297079023399136e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,15,4000,6.429999999999999e-06,6.500594309302004e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,16,4000,6.429999999999999e-06,6.464596257638915e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,17,4000,6.429999999999999e-06,6.349192597392889e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,18,4000,6.429999999999999e-06,6.486876659864809e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,19,4000,6.429999999999999e-06,6.249301254925385e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,20,4000,6.429999999999999e-06,6.542269515558595e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,21,4000,6.429999999999999e-06,5.885017861742477e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,22,4000,6.429999999999999e-06,5.661034661216329e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,23,4000,6.429999999999999e-06,6.22379730392613e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,24,4000,6.429999999999999e-06,5.999959230856107e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,25,4000,6.429999999999999e-06,6.185199948813273e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,26,4000,6.429999999999999e-06,6.672704059086927e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,27,4000,6.429999999999999e-06,6.2204054776908494e-06,32000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,28,4000,6.429999999999999e-06,6.468987653228518e-06,32000,7,Success,GM,1
