Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (aCS),Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,4.6716232712282065e-06,40000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,8.405266165894971e-06,40000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,2,5000,6.429999999999999e-06,4.0002953478582475e-06,40000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,3,5000,6.429999999999999e-06,4.972624915146902e-06,40000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,4,5000,6.429999999999999e-06,6.716739124319453e-06,40000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,5,5000,6.429999999999999e-06,1.3615711170456694e-05,40000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,6,5000,6.429999999999999e-06,4.469391355202622e-06,40000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,7,5000,6.429999999999999e-06,7.848147531081258e-06,40000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,8,5000,6.429999999999999e-06,1.2776501539391753e-05,40000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,9,5000,6.429999999999999e-06,5.273937436072321e-06,40000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,10,5000,6.429999999999999e-06,4.500108826335644e-06,40000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,11,5000,6.429999999999999e-06,8.802822318763682e-06,40000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,12,5000,6.429999999999999e-06,4.6995454992069205e-06,40000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,13,5000,6.429999999999999e-06,1.61728915342097e-05,40000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,14,5000,6.429999999999999e-06,5.199413705585994e-06,40000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,15,5000,6.429999999999999e-06,9.572573772854904e-06,40000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,16,5000,6.429999999999999e-06,6.78132893581429e-06,40000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,17,5000,6.429999999999999e-06,3.96029716700813e-06,40000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,18,5000,6.429999999999999e-06,9.47505331547317e-06,40000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,19,5000,6.429999999999999e-06,1.136143027102906e-05,40000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,20,5000,6.429999999999999e-06,7.122075767699378e-06,40000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,21,5000,6.429999999999999e-06,7.131279128138441e-06,40000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,22,5000,6.429999999999999e-06,8.506260631013905e-06,40000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,23,5000,6.429999999999999e-06,1.0217142309759687e-05,40000,7,Success,aCS,1
