Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (GM),Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.376016139343741e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.3716519410154714e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,2,5000,6.429999999999999e-06,6.515777719014764e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,3,5000,6.429999999999999e-06,6.250628945037308e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,4,5000,6.429999999999999e-06,6.373214651972799e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,5,5000,6.429999999999999e-06,6.644378582634971e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,6,5000,6.429999999999999e-06,6.2627327081511546e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,7,5000,6.429999999999999e-06,6.684096196277848e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,8,5000,6.429999999999999e-06,6.092594265628205e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,9,5000,6.429999999999999e-06,6.827477364249846e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,10,5000,6.429999999999999e-06,6.55585556741599e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,11,5000,6.429999999999999e-06,5.93968574307143e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,12,5000,6.429999999999999e-06,6.411710811316596e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,13,5000,6.429999999999999e-06,6.7674535995616954e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,14,5000,6.429999999999999e-06,6.4450602613573624e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,15,5000,6.429999999999999e-06,6.256149441440636e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,16,5000,6.429999999999999e-06,6.1403595531684975e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,17,5000,6.429999999999999e-06,5.877965373831071e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,18,5000,6.429999999999999e-06,6.433231527983031e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,19,5000,6.429999999999999e-06,6.884005110642782e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,20,5000,6.429999999999999e-06,6.401991803485421e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,21,5000,6.429999999999999e-06,6.033005660173724e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,22,5000,6.429999999999999e-06,6.274116480719096e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,23,5000,6.429999999999999e-06,6.688952481103885e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,24,5000,6.429999999999999e-06,6.674867530517089e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,25,5000,6.429999999999999e-06,6.126039498630345e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,26,5000,6.429999999999999e-06,6.735101254991389e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,27,5000,6.429999999999999e-06,6.0564945966445495e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,28,5000,6.429999999999999e-06,6.580101572695083e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,29,5000,6.429999999999999e-06,6.4102227016773775e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,30,5000,6.429999999999999e-06,6.56358218761464e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,31,5000,6.429999999999999e-06,5.96833119820059e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,32,5000,6.429999999999999e-06,6.465717435755481e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,33,5000,6.429999999999999e-06,6.160938624081142e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,34,5000,6.429999999999999e-06,6.301491141328355e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,35,5000,6.429999999999999e-06,6.184389946824304e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,36,5000,6.429999999999999e-06,6.711537177252984e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,37,5000,6.429999999999999e-06,6.251361058373881e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,38,5000,6.429999999999999e-06,5.76742726059683e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,39,5000,6.429999999999999e-06,6.317684054937651e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,40,5000,6.429999999999999e-06,6.675944182254706e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,41,5000,6.429999999999999e-06,5.662751665456583e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,42,5000,6.429999999999999e-06,6.1003997220825016e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,43,5000,6.429999999999999e-06,6.070951636419172e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,44,5000,6.429999999999999e-06,6.7192696655288244e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,45,5000,6.429999999999999e-06,6.390306348920251e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,46,5000,6.429999999999999e-06,6.153166290662115e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,47,5000,6.429999999999999e-06,6.315971581195768e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,48,5000,6.429999999999999e-06,6.553044831193487e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,49,5000,6.429999999999999e-06,6.729655440603406e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,50,5000,6.429999999999999e-06,6.473901495196435e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,51,5000,6.429999999999999e-06,6.1159575806973125e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,52,5000,6.429999999999999e-06,6.482104702950386e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,53,5000,6.429999999999999e-06,6.335581225474224e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,54,5000,6.429999999999999e-06,6.326979784368006e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,55,5000,6.429999999999999e-06,6.219528753511529e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,56,5000,6.429999999999999e-06,6.012448928241342e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,57,5000,6.429999999999999e-06,6.272557351995689e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,58,5000,6.429999999999999e-06,6.116138936999937e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,59,5000,6.429999999999999e-06,6.624044676643352e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,60,5000,6.429999999999999e-06,6.200677280795957e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,61,5000,6.429999999999999e-06,6.48638189483083e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,62,5000,6.429999999999999e-06,5.965192928990008e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,63,5000,6.429999999999999e-06,6.3853349843271e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,64,5000,6.429999999999999e-06,6.087744537811201e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,65,5000,6.429999999999999e-06,6.39981572776508e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,66,5000,6.429999999999999e-06,6.596407864503527e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,67,5000,6.429999999999999e-06,6.443112587589632e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,68,5000,6.429999999999999e-06,6.6598506542665125e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,69,5000,6.429999999999999e-06,6.214631233050875e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,70,5000,6.429999999999999e-06,6.080822589125623e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,71,5000,6.429999999999999e-06,6.447170712128478e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,72,5000,6.429999999999999e-06,6.400256802868807e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,73,5000,6.429999999999999e-06,6.353256514539591e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,74,5000,6.429999999999999e-06,7.0919268572365536e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,75,5000,6.429999999999999e-06,6.2631281594809466e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,76,5000,6.429999999999999e-06,6.53161408201078e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,77,5000,6.429999999999999e-06,5.671227600110626e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,78,5000,6.429999999999999e-06,6.927264576764709e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,79,5000,6.429999999999999e-06,6.6535079344597315e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,80,5000,6.429999999999999e-06,5.806784524755618e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,81,5000,6.429999999999999e-06,5.8010295862247945e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,82,5000,6.429999999999999e-06,6.574765886730202e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,83,5000,6.429999999999999e-06,6.581962319813844e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,84,5000,6.429999999999999e-06,6.033859849370728e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,85,5000,6.429999999999999e-06,6.0822777356263415e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,86,5000,6.429999999999999e-06,6.4441252607583134e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,87,5000,6.429999999999999e-06,6.344818026556682e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,88,5000,6.429999999999999e-06,6.446477906852767e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,89,5000,6.429999999999999e-06,6.162430374665135e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,90,5000,6.429999999999999e-06,6.49250946847368e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,91,5000,6.429999999999999e-06,6.778415878664898e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,92,5000,6.429999999999999e-06,6.479879832579995e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,93,5000,6.429999999999999e-06,6.638941500087917e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,94,5000,6.429999999999999e-06,6.587445681624888e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,95,5000,6.429999999999999e-06,5.828517664932492e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,96,5000,6.429999999999999e-06,6.290422977557247e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,97,5000,6.429999999999999e-06,6.610974552712488e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,98,5000,6.429999999999999e-06,5.982204137286114e-06,40000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,99,5000,6.429999999999999e-06,6.408667317330652e-06,40000,7,Success,GM,1
