Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (aCS),Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,5.3893278777225475e-06,48000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,1,6000,6.429999999999999e-06,6.766037097186346e-06,48000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,2,6000,6.429999999999999e-06,4.372399848602347e-06,48000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,3,6000,6.429999999999999e-06,5.548365812831805e-06,48000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,4,6000,6.429999999999999e-06,5.221963533043636e-06,48000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,5,6000,6.429999999999999e-06,8.435060123322612e-06,48000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,6,6000,6.429999999999999e-06,5.637726938727139e-06,48000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,7,6000,6.429999999999999e-06,4.5514467090674154e-06,48000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,8,6000,6.429999999999999e-06,7.2886614717853426e-06,48000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,9,6000,6.429999999999999e-06,4.65996805899881e-06,48000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,10,6000,6.429999999999999e-06,5.07059439772481e-06,48000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,11,6000,6.429999999999999e-06,5.8225528039133945e-06,48000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,12,6000,6.429999999999999e-06,5.687792112267956e-06,48000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,13,6000,6.429999999999999e-06,9.032020250629465e-06,48000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,14,6000,6.429999999999999e-06,5.847456129904249e-06,48000,7,Success,aCS,1
SiS (aCS),Nonlinear Oscillator Problem,15,6000,6.429999999999999e-06,7.285412481789591e-06,48000,7,Success,aCS,1
