Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (GM),Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.26903349198532e-06,48000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,1,6000,6.429999999999999e-06,6.155705000311737e-06,48000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,2,6000,6.429999999999999e-06,6.248822819207708e-06,48000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,3,6000,6.429999999999999e-06,6.351668640507735e-06,48000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,4,6000,6.429999999999999e-06,6.143361819539649e-06,48000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,5,6000,6.429999999999999e-06,5.9990372456301535e-06,48000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,6,6000,6.429999999999999e-06,6.154847182092102e-06,48000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,7,6000,6.429999999999999e-06,6.5145729355069975e-06,48000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,8,6000,6.429999999999999e-06,6.42294128576866e-06,48000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,9,6000,6.429999999999999e-06,6.186928222612976e-06,48000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,10,6000,6.429999999999999e-06,6.441176743157403e-06,48000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,11,6000,6.429999999999999e-06,6.4189589076953285e-06,48000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,12,6000,6.429999999999999e-06,6.68378098968074e-06,48000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,13,6000,6.429999999999999e-06,6.469255605384149e-06,48000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,14,6000,6.429999999999999e-06,6.485693942551258e-06,48000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,15,6000,6.429999999999999e-06,6.020286743015524e-06,48000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,16,6000,6.429999999999999e-06,6.394040208188538e-06,48000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,17,6000,6.429999999999999e-06,6.219014683025822e-06,48000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,18,6000,6.429999999999999e-06,6.607033696960741e-06,48000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,19,6000,6.429999999999999e-06,6.748763253938758e-06,48000,7,Success,GM,1
